NO_OF_FRAMES	258
NO_OF_CAMERAS	0
NO_OF_MARKERS	64
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_SACR	S01_LASI	S01_RASI	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S02_LFHD	S02_RFHD	S02_OZ	S02_C7	S02_LSHO	S02_RSHO	S02_LELB	S02_RELB	S02_LWRB	S02_RWRB	S02_SACR	S02_LASI	S02_RASI	S02_IVIBoUp	S02_IVIBoLo	S02_IVISc	S03_LFHD	S03_RFHD	S03_OZ	S03_C7	S03_LSHO	S03_RSHO	S03_LELB	S03_RELB	S03_LWRB	S03_RWRB	S03_SACR	S03_LASI	S03_RASI	S03_IVIBoUp	S03_IVIBoLo	S03_IVISc	S04_LFHD	S04_RFHD	S04_OZ	S04_C7	S04_LSHO	S04_RSHO	S04_LELB	S04_RELB	S04_LWRB	S04_RWRB	S04_SACR	S04_LASI	S04_RASI	S04_IVIBoUp	S04_IVIBoLo	S04_IVISc	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_SACR X	S01_SACR Y	S01_SACR Z	S01_LASI X	S01_LASI Y	S01_LASI Z	S01_RASI X	S01_RASI Y	S01_RASI Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S02_LFHD X	S02_LFHD Y	S02_LFHD Z	S02_RFHD X	S02_RFHD Y	S02_RFHD Z	S02_OZ X	S02_OZ Y	S02_OZ Z	S02_C7 X	S02_C7 Y	S02_C7 Z	S02_LSHO X	S02_LSHO Y	S02_LSHO Z	S02_RSHO X	S02_RSHO Y	S02_RSHO Z	S02_LELB X	S02_LELB Y	S02_LELB Z	S02_RELB X	S02_RELB Y	S02_RELB Z	S02_LWRB X	S02_LWRB Y	S02_LWRB Z	S02_RWRB X	S02_RWRB Y	S02_RWRB Z	S02_SACR X	S02_SACR Y	S02_SACR Z	S02_LASI X	S02_LASI Y	S02_LASI Z	S02_RASI X	S02_RASI Y	S02_RASI Z	S02_IVIBoUp X	S02_IVIBoUp Y	S02_IVIBoUp Z	S02_IVIBoLo X	S02_IVIBoLo Y	S02_IVIBoLo Z	S02_IVISc X	S02_IVISc Y	S02_IVISc Z	S03_LFHD X	S03_LFHD Y	S03_LFHD Z	S03_RFHD X	S03_RFHD Y	S03_RFHD Z	S03_OZ X	S03_OZ Y	S03_OZ Z	S03_C7 X	S03_C7 Y	S03_C7 Z	S03_LSHO X	S03_LSHO Y	S03_LSHO Z	S03_RSHO X	S03_RSHO Y	S03_RSHO Z	S03_LELB X	S03_LELB Y	S03_LELB Z	S03_RELB X	S03_RELB Y	S03_RELB Z	S03_LWRB X	S03_LWRB Y	S03_LWRB Z	S03_RWRB X	S03_RWRB Y	S03_RWRB Z	S03_SACR X	S03_SACR Y	S03_SACR Z	S03_LASI X	S03_LASI Y	S03_LASI Z	S03_RASI X	S03_RASI Y	S03_RASI Z	S03_IVIBoUp X	S03_IVIBoUp Y	S03_IVIBoUp Z	S03_IVIBoLo X	S03_IVIBoLo Y	S03_IVIBoLo Z	S03_IVISc X	S03_IVISc Y	S03_IVISc Z	S04_LFHD X	S04_LFHD Y	S04_LFHD Z	S04_RFHD X	S04_RFHD Y	S04_RFHD Z	S04_OZ X	S04_OZ Y	S04_OZ Z	S04_C7 X	S04_C7 Y	S04_C7 Z	S04_LSHO X	S04_LSHO Y	S04_LSHO Z	S04_RSHO X	S04_RSHO Y	S04_RSHO Z	S04_LELB X	S04_LELB Y	S04_LELB Z	S04_RELB X	S04_RELB Y	S04_RELB Z	S04_LWRB X	S04_LWRB Y	S04_LWRB Z	S04_RWRB X	S04_RWRB Y	S04_RWRB Z	S04_SACR X	S04_SACR Y	S04_SACR Z	S04_LASI X	S04_LASI Y	S04_LASI Z	S04_RASI X	S04_RASI Y	S04_RASI Z	S04_IVIBoUp X	S04_IVIBoUp Y	S04_IVIBoUp Z	S04_IVIBoLo X	S04_IVIBoLo Y	S04_IVIBoLo Z	S04_IVISc X	S04_IVISc Y	S04_IVISc Z	
1	0.01000	390.256	1049.483	1239.034	289.616	1072.196	1258.883	404.859	1290.674	1220.424	450.596	1269.298	1135.975	503.261	1029.610	1032.471	286.157	1423.957	1103.780	438.628	972.271	722.714	44.292	1368.339	816.236	298.446	881.426	861.058	62.979	1149.965	897.770	547.110	1398.616	588.232	563.598	1136.377	618.855	292.212	1374.139	630.243	273.261	843.652	1463.240	146.215	1079.830	759.827	339.824	614.877	904.276	1599.967	680.992	1257.553	1584.989	792.137	1229.385	1809.661	753.742	1214.863	1837.981	713.415	1073.080	1684.677	511.024	1032.261	1760.799	930.041	1042.589	1498.686	433.870	780.404	1543.740	1005.950	795.412	1336.223	454.221	917.731	1416.408	867.049	907.908	1854.532	705.092	587.008	1677.737	525.929	602.522	1665.927	885.891	599.811	1444.305	659.458	1546.175	1398.488	714.175	797.791	1224.605	322.123	1039.431	1552.917	-697.950	1243.785	1589.261	-575.226	1254.988	1789.614	-684.474	1233.283	1795.549	-753.009	1102.040	1557.073	-817.931	1021.500	1844.078	-492.735	1104.798	1417.672	-721.120	755.341	1716.524	-278.391	916.379	1225.933	-632.098	846.473	1516.051	-364.169	966.338	1860.404	-733.960	630.606	1619.435	-755.806	605.782	1842.870	-481.039	617.156	1327.141	-866.700	1357.725	1459.380	-410.002	801.493	997.177	-721.593	886.514	607.290	-1442.926	1274.736	789.618	-1469.694	1257.457	643.526	-1651.638	1199.728	709.991	-1658.408	1095.863	460.256	-1637.485	1054.989	898.123	-1482.011	1022.731	254.350	-1617.407	848.422	1086.255	-1440.613	761.197	384.234	-1484.868	1001.240	983.979	-1243.694	837.357	719.406	-1815.424	537.926	489.356	-1729.439	579.976	897.547	-1620.446	570.062	319.063	-1094.184	831.707	1018.521	-1144.238	763.729	   NaN	   NaN	   NaN
2	0.02000	390.525	1049.825	1239.433	289.778	1072.517	1259.234	404.662	1290.998	1220.196	450.516	1269.493	1135.988	503.416	1029.797	1032.559	285.842	1424.031	1103.688	439.079	972.565	722.733	44.162	1368.653	815.919	298.846	881.560	860.998	62.883	1150.124	897.129	547.104	1398.626	588.219	563.598	1136.414	618.830	292.187	1374.131	630.207	274.847	843.150	1461.681	145.851	1080.108	758.813	340.452	614.994	904.141	1599.453	680.623	1257.388	1584.370	791.757	1229.205	1809.099	753.619	1214.880	1837.608	713.370	1073.156	1684.584	510.782	1032.085	1760.294	929.991	1042.526	1498.982	433.546	779.851	1543.741	1006.391	794.997	1336.257	453.675	917.025	1416.430	866.595	906.505	1854.566	705.061	586.978	1677.822	525.864	602.520	1665.919	885.830	599.819	1447.710	652.428	1541.789	1397.780	715.140	794.266	1224.639	321.556	1038.489	1553.356	-697.531	1243.755	1590.330	-575.042	1255.364	1790.138	-685.244	1233.417	1795.872	-753.080	1101.966	1557.139	-817.288	1021.546	1844.982	-492.873	1104.754	1417.795	-719.810	755.719	1718.049	-277.751	916.908	1226.470	-630.241	847.220	1517.365	-362.993	966.836	1860.470	-733.974	630.583	1619.501	-755.736	605.846	1843.028	-481.047	617.101	1328.209	-867.280	1356.034	1460.294	-408.460	801.761	997.417	-719.413	887.115	607.324	-1442.881	1274.681	789.646	-1469.704	1257.374	643.475	-1651.652	1199.843	709.875	-1658.489	1095.854	460.079	-1637.558	1054.886	898.110	-1482.132	1022.784	254.437	-1617.261	848.329	1086.015	-1441.222	761.051	384.220	-1485.532	1002.012	983.804	-1244.380	837.472	719.406	-1815.425	537.909	489.334	-1729.482	579.965	897.537	-1620.455	570.060	318.780	-1095.626	830.532	1018.438	-1144.786	764.038	   NaN	   NaN	   NaN
3	0.03000	390.812	1050.148	1239.867	289.840	1072.988	1259.642	404.455	1291.325	1219.961	450.431	1269.691	1136.000	503.564	1029.995	1032.664	285.593	1424.073	1103.554	439.556	972.860	722.765	44.008	1368.938	815.626	299.277	881.682	860.944	62.769	1150.277	896.539	547.092	1398.636	588.209	563.592	1136.444	618.805	292.156	1374.123	630.172	276.431	842.605	1460.021	145.369	1080.367	757.774	341.117	615.114	903.991	1598.959	680.228	1257.240	1583.774	791.345	1229.047	1808.544	753.481	1214.899	1837.232	713.328	1073.223	1684.514	510.543	1031.906	1759.789	929.888	1042.461	1499.285	433.224	779.363	1543.710	1006.893	794.689	1336.288	453.127	916.309	1416.477	866.182	905.212	1854.599	705.031	586.950	1677.909	525.800	602.524	1665.912	885.776	599.832	1451.307	645.480	1537.433	1396.930	716.093	790.907	1224.668	320.983	1037.541	1553.792	-697.161	1243.707	1591.386	-574.924	1255.738	1790.650	-686.043	1233.553	1796.193	-753.148	1101.886	1557.199	-816.641	1021.573	1845.874	-493.020	1104.717	1417.931	-718.505	756.073	1719.555	-277.104	917.471	1226.995	-628.326	847.933	1518.663	-361.837	967.355	1860.537	-733.989	630.562	1619.575	-755.654	605.893	1843.190	-481.055	617.052	1329.361	-867.827	1354.454	1461.162	-407.003	802.044	997.668	-717.181	887.690	607.342	-1442.845	1274.630	789.662	-1469.735	1257.301	643.416	-1651.681	1199.950	709.776	-1658.572	1095.847	459.919	-1637.672	1054.774	898.084	-1482.247	1022.829	254.511	-1617.142	848.204	1085.804	-1441.742	760.941	384.207	-1485.978	1002.536	983.635	-1244.994	837.657	719.419	-1815.424	537.893	489.327	-1729.520	579.958	897.539	-1620.459	570.059	318.462	-1097.178	829.407	1018.340	-1145.200	764.465	   NaN	   NaN	   NaN
4	0.04000	391.130	1050.461	1240.318	289.815	1073.579	1260.089	404.240	1291.663	1219.725	450.339	1269.893	1136.009	503.707	1030.197	1032.782	285.409	1424.079	1103.380	440.048	973.150	722.803	43.828	1369.189	815.370	299.742	881.779	860.890	62.630	1150.414	895.994	547.075	1398.650	588.205	563.581	1136.469	618.783	292.119	1374.111	630.136	278.034	842.030	1458.242	144.758	1080.626	756.695	341.798	615.247	903.809	1598.482	679.803	1257.097	1583.204	790.894	1228.906	1807.991	753.331	1214.926	1836.848	713.291	1073.288	1684.460	510.310	1031.724	1759.278	929.747	1042.410	1499.589	432.905	778.910	1543.651	1007.456	794.476	1336.317	452.579	915.583	1416.524	865.811	903.988	1854.630	705.004	586.922	1677.996	525.737	602.527	1665.904	885.726	599.846	1455.093	638.552	1533.112	1395.973	717.051	787.729	1224.703	320.395	1036.588	1554.224	-696.837	1243.633	1592.433	-574.884	1256.108	1791.146	-686.875	1233.687	1796.503	-753.213	1101.798	1557.256	-815.994	1021.585	1846.760	-493.174	1104.689	1418.077	-717.213	756.408	1721.037	-276.434	918.082	1227.511	-626.327	848.633	1519.938	-360.702	967.895	1860.602	-734.004	630.538	1619.656	-755.562	605.922	1843.355	-481.063	617.004	1330.589	-868.329	1352.978	1462.015	-405.606	802.340	997.929	-714.908	888.234	607.344	-1442.818	1274.585	789.663	-1469.781	1257.242	643.350	-1651.723	1200.051	709.695	-1658.655	1095.844	459.777	-1637.815	1054.652	898.060	-1482.359	1022.863	254.580	-1617.045	848.018	1085.625	-1442.171	760.872	384.193	-1486.158	1002.759	983.464	-1245.538	837.894	719.440	-1815.422	537.878	489.333	-1729.554	579.954	897.553	-1620.456	570.060	318.107	-1098.809	828.348	1018.212	-1145.497	764.996	   NaN	   NaN	   NaN
5	0.05000	391.491	1050.780	1240.768	289.747	1074.225	1260.542	404.017	1292.017	1219.493	450.239	1270.099	1136.017	503.849	1030.397	1032.910	285.268	1424.056	1103.186	440.551	973.428	722.842	43.616	1369.406	815.163	300.244	881.843	860.826	62.464	1150.526	895.482	547.051	1398.668	588.207	563.566	1136.490	618.765	292.077	1374.097	630.099	279.686	841.435	1456.341	144.017	1080.888	755.562	342.494	615.382	903.594	1598.017	679.347	1256.953	1582.663	790.401	1228.779	1807.433	753.164	1214.969	1836.457	713.255	1073.357	1684.421	510.081	1031.544	1758.758	929.577	1042.382	1499.890	432.584	778.467	1543.565	1008.075	794.344	1336.347	452.030	914.848	1416.549	865.484	902.804	1854.660	704.981	586.893	1678.084	525.678	602.526	1665.896	885.678	599.859	1459.052	631.594	1528.828	1394.939	718.038	784.739	1224.751	319.783	1035.633	1554.645	-696.548	1243.528	1593.475	-574.925	1256.476	1791.623	-687.746	1233.813	1796.798	-753.279	1101.699	1557.314	-815.348	1021.587	1847.644	-493.332	1104.675	1418.231	-715.941	756.727	1722.490	-275.727	918.752	1228.023	-624.239	849.329	1521.191	-359.593	968.460	1860.660	-734.019	630.509	1619.742	-755.462	605.939	1843.519	-481.073	616.955	1331.882	-868.786	1351.594	1462.872	-404.223	802.666	998.200	-712.609	888.743	607.327	-1442.801	1274.546	789.646	-1469.837	1257.198	643.280	-1651.779	1200.146	709.630	-1658.744	1095.844	459.656	-1637.972	1054.520	898.046	-1482.471	1022.891	254.650	-1616.963	847.756	1085.480	-1442.509	760.850	384.173	-1486.055	1002.657	983.280	-1246.016	838.171	719.465	-1815.418	537.864	489.352	-1729.582	579.953	897.578	-1620.444	570.063	317.717	-1100.493	827.377	1018.043	-1145.697	765.606	   NaN	   NaN	   NaN
6	0.06000	391.903	1051.119	1241.215	289.697	1074.837	1260.977	403.780	1292.385	1219.264	450.136	1270.305	1136.024	503.991	1030.587	1033.042	285.142	1424.021	1103.002	441.069	973.691	722.883	43.366	1369.594	815.015	300.779	881.867	860.740	62.273	1150.607	894.995	547.020	1398.692	588.214	563.552	1136.508	618.752	292.030	1374.080	630.063	281.420	840.831	1454.325	143.157	1081.147	754.374	343.247	615.472	903.365	1597.562	678.862	1256.801	1582.144	789.874	1228.664	1806.868	752.977	1215.025	1836.068	713.218	1073.438	1684.396	509.854	1031.368	1758.231	929.381	1042.379	1500.192	432.254	778.023	1543.452	1008.739	794.276	1336.378	451.475	914.101	1416.535	865.202	901.648	1854.687	704.963	586.861	1678.172	525.623	602.519	1665.888	885.627	599.869	1463.160	624.574	1524.576	1393.854	719.081	781.933	1224.817	319.142	1034.682	1555.052	-696.278	1243.392	1594.514	-575.038	1256.849	1792.078	-688.660	1233.933	1797.078	-753.355	1101.589	1557.372	-814.703	1021.581	1848.529	-493.497	1104.678	1418.393	-714.685	757.028	1723.915	-274.981	919.477	1228.547	-622.115	850.005	1522.428	-358.518	969.053	1860.710	-734.035	630.474	1619.830	-755.360	605.949	1843.679	-481.085	616.904	1333.227	-869.211	1350.292	1463.753	-402.776	803.073	998.480	-710.297	889.209	607.290	-1442.798	1274.514	789.610	-1469.898	1257.172	643.209	-1651.845	1200.236	709.577	-1658.839	1095.842	459.557	-1638.128	1054.380	898.041	-1482.584	1022.920	254.727	-1616.890	847.407	1085.364	-1442.759	760.873	384.143	-1485.684	1002.243	983.075	-1246.432	838.480	719.494	-1815.408	537.849	489.380	-1729.604	579.954	897.612	-1620.421	570.070	317.301	-1102.209	826.517	1017.833	-1145.817	766.261	   NaN	   NaN	   NaN
7	0.07000	392.368	1051.485	1241.677	289.731	1075.337	1261.386	403.525	1292.762	1219.038	450.033	1270.510	1136.031	504.135	1030.761	1033.179	285.018	1423.994	1102.850	441.611	973.937	722.926	43.072	1369.765	814.932	301.343	881.857	860.629	62.066	1150.657	894.534	546.985	1398.722	588.229	563.543	1136.523	618.738	291.976	1374.064	630.030	283.268	840.221	1452.209	142.187	1081.392	753.136	344.105	615.475	903.150	1597.112	678.355	1256.637	1581.633	789.336	1228.565	1806.304	752.763	1215.092	1835.690	713.177	1073.528	1684.381	509.625	1031.198	1757.699	929.160	1042.400	1500.502	431.913	777.576	1543.312	1009.434	794.253	1336.414	450.906	913.345	1416.480	864.969	900.520	1854.714	704.949	586.825	1678.259	525.573	602.508	1665.878	885.574	599.873	1467.381	617.477	1520.342	1392.740	720.205	779.300	1224.903	318.470	1033.735	1555.433	-696.008	1243.227	1595.548	-575.198	1257.239	1792.513	-689.620	1234.045	1797.345	-753.448	1101.470	1557.430	-814.058	1021.565	1849.413	-493.670	1104.702	1418.565	-713.435	757.312	1725.315	-274.220	920.240	1229.108	-620.081	850.606	1523.658	-357.484	969.673	1860.753	-734.055	630.435	1619.917	-755.261	605.959	1843.833	-481.097	616.848	1334.609	-869.624	1349.057	1464.680	-401.146	803.647	998.772	-707.984	889.623	607.233	-1442.813	1274.485	789.553	-1469.960	1257.165	643.140	-1651.922	1200.325	709.529	-1658.945	1095.838	459.480	-1638.267	1054.235	898.044	-1482.700	1022.961	254.814	-1616.822	846.973	1085.274	-1442.931	760.938	384.107	-1485.089	1001.553	982.846	-1246.788	838.818	719.525	-1815.392	537.834	489.411	-1729.621	579.957	897.650	-1620.386	570.079	316.869	-1103.937	825.790	1017.587	-1145.877	766.933	   NaN	   NaN	   NaN
8	0.08000	392.881	1051.870	1242.189	289.892	1075.681	1261.785	403.245	1293.141	1218.813	449.936	1270.711	1136.042	504.285	1030.919	1033.327	284.906	1423.991	1102.750	442.182	974.162	722.972	42.726	1369.934	814.920	301.929	881.821	860.508	61.849	1150.679	894.104	546.946	1398.756	588.249	563.542	1136.537	618.725	291.914	1374.052	630.005	285.259	839.610	1450.008	141.120	1081.612	751.860	345.089	615.381	902.967	1596.665	677.831	1256.459	1581.096	788.834	1228.492	1805.754	752.525	1215.161	1835.332	713.133	1073.620	1684.376	509.390	1031.026	1757.165	928.920	1042.440	1500.827	431.561	777.131	1543.147	1010.147	794.259	1336.457	450.314	912.583	1416.390	864.788	899.436	1854.741	704.937	586.784	1678.348	525.529	602.494	1665.867	885.520	599.871	1471.677	610.304	1516.108	1391.613	721.423	776.824	1225.017	317.775	1032.790	1555.774	-695.725	1243.039	1596.572	-575.374	1257.655	1792.930	-690.622	1234.151	1797.602	-753.562	1101.341	1557.484	-813.415	1021.536	1850.293	-493.854	1104.745	1418.746	-712.178	757.576	1726.701	-273.496	921.003	1229.735	-618.279	851.066	1524.891	-356.500	970.321	1860.788	-734.078	630.396	1620.000	-755.169	605.977	1843.976	-481.108	616.785	1336.013	-870.047	1347.871	1465.688	-399.196	804.477	999.075	-705.672	889.982	607.158	-1442.848	1274.460	789.478	-1470.019	1257.175	643.074	-1652.007	1200.413	709.483	-1659.062	1095.833	459.424	-1638.375	1054.088	898.051	-1482.817	1023.019	254.919	-1616.754	846.464	1085.203	-1443.035	761.043	384.079	-1484.331	1000.643	982.599	-1247.090	839.189	719.556	-1815.366	537.817	489.442	-1729.634	579.959	897.685	-1620.344	570.087	316.431	-1105.655	825.214	1017.315	-1145.893	767.603	   NaN	   NaN	   NaN
9	0.09000	393.435	1052.258	1242.791	290.182	1075.874	1262.209	402.940	1293.514	1218.586	449.851	1270.905	1136.058	504.445	1031.063	1033.491	284.824	1424.021	1102.716	442.782	974.364	723.023	42.321	1370.109	814.985	302.536	881.773	860.401	61.628	1150.683	893.712	546.903	1398.797	588.277	563.554	1136.549	618.712	291.843	1374.048	629.992	287.418	838.998	1447.737	139.969	1081.803	750.558	346.176	615.226	902.819	1596.221	677.299	1256.265	1580.504	788.414	1228.447	1805.225	752.265	1215.225	1835.010	713.087	1073.702	1684.380	509.145	1030.848	1756.634	928.667	1042.498	1501.169	431.202	776.690	1542.967	1010.872	794.284	1336.508	449.688	911.820	1416.279	864.665	898.414	1854.771	704.928	586.740	1678.441	525.490	602.480	1665.854	885.467	599.863	1476.015	603.059	1511.851	1390.479	722.736	774.490	1225.169	317.065	1031.843	1556.058	-695.419	1242.833	1597.589	-575.546	1258.095	1793.329	-691.661	1234.249	1797.849	-753.699	1101.206	1557.532	-812.779	1021.489	1851.165	-494.049	1104.809	1418.938	-710.908	757.822	1728.083	-272.843	921.747	1230.438	-616.756	851.356	1526.130	-355.570	970.999	1860.819	-734.104	630.358	1620.077	-755.082	606.009	1844.109	-481.117	616.713	1337.424	-870.500	1346.716	1466.810	-396.833	805.608	999.391	-703.365	890.289	607.066	-1442.899	1274.437	789.386	-1470.074	1257.203	643.011	-1652.100	1200.500	709.435	-1659.189	1095.828	459.388	-1638.446	1053.941	898.060	-1482.929	1023.098	255.043	-1616.682	845.896	1085.148	-1443.080	761.183	384.076	-1483.488	999.586	982.341	-1247.344	839.593	719.584	-1815.331	537.801	489.467	-1729.643	579.962	897.710	-1620.298	570.094	315.997	-1107.346	824.789	1017.030	-1145.880	768.260	   NaN	   NaN	   NaN
10	0.10000	394.022	1052.636	1243.514	290.565	1075.965	1262.703	402.612	1293.877	1218.352	449.782	1271.093	1136.082	504.624	1031.199	1033.673	284.789	1424.082	1102.766	443.410	974.540	723.083	41.853	1370.293	815.130	303.170	881.722	860.342	61.404	1150.675	893.360	546.858	1398.843	588.310	563.585	1136.561	618.704	291.764	1374.052	629.991	289.771	838.391	1445.402	138.748	1081.968	749.247	347.317	615.062	902.697	1595.782	676.760	1256.055	1579.857	788.077	1228.415	1804.721	751.988	1215.281	1834.740	713.042	1073.762	1684.395	508.889	1030.659	1756.109	928.409	1042.571	1501.523	430.844	776.244	1542.780	1011.609	794.325	1336.570	449.025	911.054	1416.161	864.603	897.477	1854.804	704.922	586.692	1678.539	525.456	602.470	1665.838	885.416	599.847	1480.369	595.752	1507.553	1389.337	724.138	772.287	1225.366	316.346	1030.895	1556.284	-695.090	1242.612	1598.605	-575.711	1258.555	1793.707	-692.731	1234.338	1798.088	-753.852	1101.069	1557.573	-812.154	1021.421	1852.026	-494.255	1104.893	1419.140	-709.619	758.048	1729.460	-272.255	922.481	1231.201	-615.452	851.501	1527.376	-354.697	971.705	1860.849	-734.128	630.324	1620.148	-755.002	606.056	1844.232	-481.123	616.634	1338.825	-870.994	1345.573	1468.050	-394.105	806.990	999.719	-701.062	890.551	606.961	-1442.964	1274.419	789.278	-1470.125	1257.246	642.948	-1652.198	1200.586	709.382	-1659.320	1095.826	459.365	-1638.480	1053.797	898.066	-1483.033	1023.198	255.190	-1616.604	845.294	1085.105	-1443.076	761.359	384.112	-1482.643	998.470	982.079	-1247.555	840.026	719.605	-1815.289	537.789	489.484	-1729.651	579.965	897.720	-1620.250	570.098	315.571	-1108.992	824.507	1016.739	-1145.847	768.895	   NaN	   NaN	   NaN
