NO_OF_FRAMES	156
NO_OF_CAMERAS	0
NO_OF_MARKERS	64
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_SACR	S01_LASI	S01_RASI	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S02_LFHD	S02_RFHD	S02_OZ	S02_C7	S02_LSHO	S02_RSHO	S02_LELB	S02_RELB	S02_LWRB	S02_RWRB	S02_SACR	S02_LASI	S02_RASI	S02_IVIBoUp	S02_IVIBoLo	S02_IVISc	S03_LFHD	S03_RFHD	S03_OZ	S03_C7	S03_LSHO	S03_RSHO	S03_LELB	S03_RELB	S03_LWRB	S03_RWRB	S03_SACR	S03_LASI	S03_RASI	S03_IVIBoUp	S03_IVIBoLo	S03_IVISc	S04_LFHD	S04_RFHD	S04_OZ	S04_C7	S04_LSHO	S04_RSHO	S04_LELB	S04_RELB	S04_LWRB	S04_RWRB	S04_SACR	S04_LASI	S04_RASI	S04_IVIBoUp	S04_IVIBoLo	S04_IVISc	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_SACR X	S01_SACR Y	S01_SACR Z	S01_LASI X	S01_LASI Y	S01_LASI Z	S01_RASI X	S01_RASI Y	S01_RASI Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S02_LFHD X	S02_LFHD Y	S02_LFHD Z	S02_RFHD X	S02_RFHD Y	S02_RFHD Z	S02_OZ X	S02_OZ Y	S02_OZ Z	S02_C7 X	S02_C7 Y	S02_C7 Z	S02_LSHO X	S02_LSHO Y	S02_LSHO Z	S02_RSHO X	S02_RSHO Y	S02_RSHO Z	S02_LELB X	S02_LELB Y	S02_LELB Z	S02_RELB X	S02_RELB Y	S02_RELB Z	S02_LWRB X	S02_LWRB Y	S02_LWRB Z	S02_RWRB X	S02_RWRB Y	S02_RWRB Z	S02_SACR X	S02_SACR Y	S02_SACR Z	S02_LASI X	S02_LASI Y	S02_LASI Z	S02_RASI X	S02_RASI Y	S02_RASI Z	S02_IVIBoUp X	S02_IVIBoUp Y	S02_IVIBoUp Z	S02_IVIBoLo X	S02_IVIBoLo Y	S02_IVIBoLo Z	S02_IVISc X	S02_IVISc Y	S02_IVISc Z	S03_LFHD X	S03_LFHD Y	S03_LFHD Z	S03_RFHD X	S03_RFHD Y	S03_RFHD Z	S03_OZ X	S03_OZ Y	S03_OZ Z	S03_C7 X	S03_C7 Y	S03_C7 Z	S03_LSHO X	S03_LSHO Y	S03_LSHO Z	S03_RSHO X	S03_RSHO Y	S03_RSHO Z	S03_LELB X	S03_LELB Y	S03_LELB Z	S03_RELB X	S03_RELB Y	S03_RELB Z	S03_LWRB X	S03_LWRB Y	S03_LWRB Z	S03_RWRB X	S03_RWRB Y	S03_RWRB Z	S03_SACR X	S03_SACR Y	S03_SACR Z	S03_LASI X	S03_LASI Y	S03_LASI Z	S03_RASI X	S03_RASI Y	S03_RASI Z	S03_IVIBoUp X	S03_IVIBoUp Y	S03_IVIBoUp Z	S03_IVIBoLo X	S03_IVIBoLo Y	S03_IVIBoLo Z	S03_IVISc X	S03_IVISc Y	S03_IVISc Z	S04_LFHD X	S04_LFHD Y	S04_LFHD Z	S04_RFHD X	S04_RFHD Y	S04_RFHD Z	S04_OZ X	S04_OZ Y	S04_OZ Z	S04_C7 X	S04_C7 Y	S04_C7 Z	S04_LSHO X	S04_LSHO Y	S04_LSHO Z	S04_RSHO X	S04_RSHO Y	S04_RSHO Z	S04_LELB X	S04_LELB Y	S04_LELB Z	S04_RELB X	S04_RELB Y	S04_RELB Z	S04_LWRB X	S04_LWRB Y	S04_LWRB Z	S04_RWRB X	S04_RWRB Y	S04_RWRB Z	S04_SACR X	S04_SACR Y	S04_SACR Z	S04_LASI X	S04_LASI Y	S04_LASI Z	S04_RASI X	S04_RASI Y	S04_RASI Z	S04_IVIBoUp X	S04_IVIBoUp Y	S04_IVIBoUp Z	S04_IVIBoLo X	S04_IVIBoLo Y	S04_IVIBoLo Z	S04_IVISc X	S04_IVISc Y	S04_IVISc Z	
1	0.01000	491.358	1119.166	1255.558	385.130	1101.969	1257.298	417.103	1350.864	1227.672	488.861	1365.414	1129.667	630.304	1146.318	1044.667	265.675	1466.444	1076.980	627.653	1067.289	715.110	83.500	1255.860	820.997	527.987	899.412	825.094	194.863	1087.313	938.120	541.846	1480.309	593.868	603.966	1224.972	606.594	290.430	1403.571	622.749	589.940	981.220	1493.122	273.170	1024.036	810.866	645.421	722.188	868.906	1519.144	579.752	1231.257	1516.255	695.461	1221.857	1738.010	639.356	1218.398	1789.580	631.165	1077.339	1638.353	436.161	1000.737	1722.052	861.241	1061.962	1469.585	379.743	727.054	1521.772	927.208	807.292	1296.194	395.858	850.625	1416.261	773.222	924.567	1840.044	665.834	582.953	1645.214	502.571	598.450	1666.283	862.453	605.257	1521.367	385.463	1480.403	1388.153	657.325	792.253	1175.282	252.807	945.158	1530.767	-647.752	1223.509	1562.483	-522.671	1222.195	1767.410	-627.101	1219.280	1784.094	-720.909	1109.913	1544.812	-763.569	1016.048	1848.308	-481.559	1095.792	1471.717	-678.287	697.058	1692.787	-286.333	973.136	1280.449	-566.071	754.361	1508.662	-396.653	1033.232	1861.682	-735.557	629.271	1620.469	-752.470	606.008	1849.157	-482.500	612.262	1333.818	-1008.961	1300.789	1429.601	-402.225	885.136	1035.854	-633.306	753.846	566.715	-1410.344	1208.629	748.164	-1399.141	1167.920	659.343	-1612.003	1241.673	687.517	-1676.103	1083.679	425.583	-1635.423	1027.817	892.073	-1498.454	1005.364	308.284	-1585.736	723.372	951.426	-1349.193	683.140	399.354	-1436.400	895.559	822.727	-1194.360	801.515	720.242	-1823.913	524.637	491.563	-1743.992	573.834	901.619	-1629.827	569.607	122.674	-1096.065	820.198	821.076	-1116.829	735.181	   NaN	   NaN	   NaN
2	0.02000	490.977	1118.911	1255.479	384.786	1101.599	1257.095	416.717	1350.088	1227.309	488.534	1365.174	1129.694	629.979	1146.114	1044.578	265.396	1466.122	1077.194	626.993	1067.432	714.784	82.917	1255.730	821.329	527.314	899.538	824.555	195.050	1087.101	937.681	542.595	1479.606	593.943	603.934	1224.920	606.635	290.386	1403.451	622.673	592.926	981.868	1490.298	272.935	1024.476	809.571	644.828	722.023	868.247	1518.819	580.520	1231.175	1516.160	696.220	1221.524	1737.809	639.739	1218.439	1789.506	631.333	1077.383	1638.179	436.383	1000.817	1722.048	861.387	1061.954	1469.540	379.710	727.147	1521.676	927.339	807.412	1296.056	395.879	850.592	1416.325	773.235	924.548	1840.027	665.889	582.958	1645.227	502.629	598.465	1666.213	862.487	605.235	1521.183	385.741	1480.708	1388.200	657.481	792.482	1175.063	253.088	945.420	1530.635	-647.937	1223.515	1562.296	-522.852	1222.218	1767.282	-627.181	1219.271	1783.985	-720.952	1109.909	1544.761	-763.705	1016.014	1848.086	-481.565	1095.858	1471.686	-678.425	696.991	1692.499	-286.400	973.198	1280.322	-566.326	754.260	1508.094	-397.246	1033.200	1861.673	-735.474	629.273	1620.477	-752.456	606.010	1849.161	-482.460	612.276	1333.864	-1009.548	1299.910	1429.400	-402.304	885.093	1035.796	-633.712	753.737	566.499	-1410.153	1208.261	747.991	-1398.931	1167.756	659.121	-1611.898	1241.810	687.496	-1675.965	1083.670	425.567	-1635.264	1027.747	892.083	-1498.364	1005.303	308.607	-1585.689	723.153	951.452	-1349.306	682.952	399.458	-1436.496	895.527	822.673	-1194.442	801.202	720.243	-1823.948	524.610	491.582	-1744.010	573.833	901.633	-1629.861	569.573	122.524	-1096.387	819.842	820.965	-1116.941	734.931	   NaN	   NaN	   NaN
3	0.03000	490.615	1118.661	1255.394	384.457	1101.224	1256.880	416.318	1349.408	1227.023	488.210	1364.935	1129.722	629.671	1145.920	1044.492	265.118	1465.812	1077.400	626.372	1067.580	714.482	82.353	1255.626	821.630	526.680	899.669	824.043	195.221	1086.905	937.222	543.178	1479.037	594.018	603.908	1224.870	606.674	290.343	1403.327	622.599	595.881	982.461	1487.475	272.682	1024.910	808.280	644.268	721.877	867.562	1518.501	581.276	1231.094	1516.067	696.967	1221.198	1737.613	640.119	1218.481	1789.429	631.493	1077.426	1638.001	436.601	1000.903	1722.042	861.526	1061.950	1469.494	379.683	727.230	1521.582	927.465	807.535	1295.914	395.912	850.551	1416.368	773.277	924.579	1840.010	665.944	582.962	1645.234	502.688	598.475	1666.144	862.519	605.209	1521.020	386.003	1481.020	1388.226	657.654	792.736	1174.826	253.396	945.678	1530.507	-648.123	1223.519	1562.111	-523.032	1222.245	1767.158	-627.257	1219.262	1783.880	-720.994	1109.907	1544.707	-763.837	1015.981	1847.867	-481.569	1095.924	1471.653	-678.558	696.927	1692.219	-286.468	973.259	1280.191	-566.578	754.158	1507.596	-397.741	1033.172	1861.660	-735.400	629.282	1620.485	-752.439	606.008	1849.162	-482.422	612.289	1333.924	-1010.134	1299.050	1429.191	-402.378	885.053	1035.739	-634.111	753.629	566.291	-1409.978	1207.911	747.823	-1398.728	1167.594	658.910	-1611.786	1241.929	687.476	-1675.832	1083.663	425.552	-1635.110	1027.680	892.092	-1498.274	1005.248	308.928	-1585.648	722.929	951.479	-1349.416	682.774	399.559	-1436.590	895.494	822.622	-1194.523	800.895	720.246	-1823.982	524.582	491.599	-1744.028	573.831	901.644	-1629.892	569.537	122.382	-1096.712	819.506	820.856	-1117.045	734.685	   NaN	   NaN	   NaN
4	0.04000	490.290	1118.417	1255.295	384.155	1100.837	1256.647	415.897	1348.860	1226.847	487.890	1364.694	1129.753	629.387	1145.737	1044.412	264.841	1465.523	1077.591	625.824	1067.738	714.220	81.820	1255.576	821.876	526.119	899.806	823.583	195.359	1086.740	936.726	543.526	1478.655	594.097	603.892	1224.825	606.709	290.301	1403.190	622.531	598.814	982.959	1484.620	272.390	1025.339	806.986	643.767	721.770	866.820	1518.196	582.013	1231.020	1515.974	697.697	1220.883	1737.425	640.492	1218.526	1789.346	631.643	1077.465	1637.816	436.811	1000.997	1722.031	861.655	1061.951	1469.443	379.670	727.300	1521.490	927.582	807.660	1295.764	395.975	850.492	1416.371	773.374	924.709	1839.991	665.999	582.967	1645.229	502.747	598.481	1666.079	862.548	605.178	1520.896	386.237	1481.348	1388.217	657.853	793.036	1174.551	253.762	945.925	1530.388	-648.311	1223.519	1561.927	-523.212	1222.280	1767.040	-627.323	1219.251	1783.778	-721.032	1109.908	1544.650	-763.965	1015.950	1847.652	-481.568	1095.991	1471.615	-678.684	696.864	1691.950	-286.537	973.318	1280.054	-566.825	754.052	1507.208	-398.085	1033.140	1861.642	-735.341	629.304	1620.496	-752.415	605.997	1849.160	-482.385	612.302	1334.011	-1010.719	1298.210	1428.969	-402.443	885.017	1035.680	-634.498	753.526	566.096	-1409.824	1207.587	747.663	-1398.532	1167.433	658.720	-1611.659	1242.015	687.460	-1675.705	1083.659	425.538	-1634.964	1027.620	892.100	-1498.183	1005.201	309.246	-1585.619	722.695	951.509	-1349.521	682.611	399.653	-1436.684	895.461	822.575	-1194.598	800.598	720.250	-1824.015	524.553	491.614	-1744.048	573.831	901.651	-1629.920	569.498	122.256	-1097.048	819.207	820.751	-1117.133	734.439	   NaN	   NaN	   NaN
5	0.05000	490.014	1118.179	1255.177	383.888	1100.434	1256.398	415.458	1348.424	1226.766	487.573	1364.449	1129.786	629.126	1145.567	1044.337	264.568	1465.255	1077.759	625.367	1067.907	714.008	81.321	1255.602	822.046	525.647	899.945	823.193	195.448	1086.618	936.186	543.666	1478.437	594.181	603.889	1224.785	606.740	290.261	1403.037	622.468	601.733	983.343	1481.711	272.049	1025.769	805.680	643.337	721.712	866.005	1517.909	582.724	1230.958	1515.877	698.402	1220.583	1737.245	640.859	1218.576	1789.254	631.783	1077.501	1637.626	437.015	1001.098	1722.016	861.767	1061.956	1469.389	379.676	727.354	1521.401	927.687	807.787	1295.610	396.082	850.413	1416.326	773.542	924.962	1839.971	666.053	582.971	1645.213	502.805	598.481	1666.017	862.571	605.142	1520.827	386.440	1481.704	1388.165	658.067	793.386	1174.228	254.207	946.157	1530.279	-648.500	1223.512	1561.741	-523.390	1222.322	1766.927	-627.378	1219.237	1783.678	-721.065	1109.910	1544.588	-764.087	1015.921	1847.442	-481.562	1096.057	1471.575	-678.803	696.803	1691.687	-286.606	973.375	1279.913	-567.064	753.941	1506.924	-398.287	1033.100	1861.620	-735.299	629.337	1620.509	-752.383	605.978	1849.155	-482.352	612.312	1334.133	-1011.304	1297.385	1428.734	-402.496	884.982	1035.617	-634.869	753.429	565.915	-1409.685	1207.288	747.515	-1398.342	1167.271	658.554	-1611.507	1242.054	687.448	-1675.584	1083.659	425.525	-1634.827	1027.566	892.108	-1498.092	1005.161	309.557	-1585.606	722.455	951.544	-1349.620	682.466	399.739	-1436.777	895.428	822.536	-1194.666	800.314	720.255	-1824.047	524.521	491.626	-1744.069	573.830	901.658	-1629.947	569.460	122.150	-1097.394	818.957	820.654	-1117.199	734.193	   NaN	   NaN	   NaN
6	0.06000	489.798	1117.949	1255.035	383.661	1100.017	1256.143	415.010	1348.065	1226.751	487.258	1364.201	1129.823	628.880	1145.408	1044.270	264.297	1465.008	1077.896	625.007	1068.091	713.844	80.853	1255.709	822.127	525.267	900.087	822.878	195.481	1086.548	935.600	543.667	1478.329	594.275	603.904	1224.749	606.765	290.223	1402.868	622.413	604.644	983.612	1478.736	271.652	1026.207	804.359	642.985	721.705	865.129	1517.645	583.405	1230.912	1515.775	699.070	1220.305	1737.077	641.221	1218.635	1789.156	631.916	1077.534	1637.432	437.215	1001.203	1722.002	861.860	1061.961	1469.332	379.706	727.396	1521.314	927.777	807.914	1295.455	396.248	850.313	1416.245	773.771	925.325	1839.947	666.103	582.977	1645.187	502.858	598.478	1665.962	862.591	605.102	1520.819	386.611	1482.091	1388.078	658.273	793.779	1173.855	254.740	946.366	1530.182	-648.688	1223.498	1561.553	-523.565	1222.365	1766.819	-627.421	1219.220	1783.579	-721.091	1109.912	1544.525	-764.201	1015.892	1847.234	-481.553	1096.123	1471.536	-678.915	696.741	1691.429	-286.674	973.428	1279.770	-567.294	753.830	1506.709	-398.394	1033.051	1861.596	-735.268	629.378	1620.524	-752.346	605.952	1849.146	-482.324	612.319	1334.294	-1011.886	1296.569	1428.491	-402.538	884.946	1035.545	-635.224	753.339	565.750	-1409.548	1207.008	747.379	-1398.152	1167.105	658.419	-1611.322	1242.030	687.441	-1675.469	1083.661	425.512	-1634.701	1027.518	892.116	-1497.999	1005.125	309.856	-1585.612	722.214	951.586	-1349.713	682.337	399.816	-1436.870	895.394	822.506	-1194.725	800.044	720.263	-1824.080	524.487	491.637	-1744.092	573.830	901.668	-1629.977	569.427	122.067	-1097.752	818.761	820.566	-1117.240	733.940	   NaN	   NaN	   NaN
7	0.07000	489.642	1117.723	1254.868	383.474	1099.588	1255.893	414.563	1347.755	1226.780	486.943	1363.951	1129.864	628.644	1145.255	1044.213	264.033	1464.783	1077.999	624.743	1068.293	713.719	80.415	1255.893	822.112	524.974	900.242	822.624	195.458	1086.533	934.969	543.591	1478.282	594.380	603.934	1224.719	606.785	290.187	1402.687	622.368	607.550	983.776	1475.688	271.198	1026.655	803.021	642.717	721.748	864.241	1517.407	584.051	1230.882	1515.669	699.687	1220.054	1736.921	641.582	1218.703	1789.052	632.044	1077.566	1637.240	437.412	1001.311	1721.993	861.932	1061.958	1469.273	379.765	727.431	1521.228	927.853	808.038	1295.309	396.482	850.197	1416.158	774.027	925.748	1839.920	666.145	582.984	1645.154	502.906	598.472	1665.912	862.608	605.063	1520.874	386.753	1482.504	1387.966	658.447	794.205	1173.438	255.356	946.548	1530.094	-648.873	1223.478	1561.365	-523.733	1222.407	1766.712	-627.451	1219.202	1783.480	-721.108	1109.913	1544.460	-764.304	1015.863	1847.028	-481.541	1096.188	1471.498	-679.017	696.679	1691.171	-286.737	973.478	1279.633	-567.511	753.722	1506.526	-398.458	1032.997	1861.571	-735.242	629.424	1620.541	-752.306	605.922	1849.134	-482.299	612.325	1334.483	-1012.457	1295.762	1428.244	-402.572	884.905	1035.464	-635.559	753.256	565.605	-1409.404	1206.739	747.255	-1397.954	1166.933	658.320	-1611.098	1241.935	687.436	-1675.359	1083.665	425.499	-1634.585	1027.478	892.124	-1497.902	1005.088	310.142	-1585.637	721.980	951.638	-1349.799	682.221	399.884	-1436.965	895.361	822.486	-1194.775	799.788	720.271	-1824.112	524.453	491.648	-1744.116	573.828	901.686	-1630.012	569.403	122.006	-1098.126	818.620	820.489	-1117.254	733.676	   NaN	   NaN	   NaN
8	0.08000	489.533	1117.496	1254.680	383.322	1099.149	1255.651	414.119	1347.485	1226.848	486.628	1363.699	1129.909	628.411	1145.105	1044.166	263.780	1464.584	1078.067	624.569	1068.513	713.618	80.013	1256.144	821.997	524.762	900.416	822.402	195.389	1086.570	934.293	543.478	1478.268	594.495	603.978	1224.694	606.798	290.153	1402.498	622.334	610.450	983.854	1472.574	270.692	1027.106	801.668	642.538	721.836	863.404	1517.196	584.655	1230.863	1515.564	700.247	1219.835	1736.776	641.946	1218.777	1788.944	632.172	1077.598	1637.055	437.605	1001.419	1721.992	861.990	1061.942	1469.215	379.854	727.463	1521.144	927.916	808.156	1295.176	396.789	850.074	1416.103	774.264	926.161	1839.888	666.179	582.992	1645.117	502.946	598.464	1665.867	862.622	605.028	1520.987	386.867	1482.935	1387.835	658.580	794.664	1172.989	256.043	946.696	1530.011	-649.051	1223.452	1561.177	-523.893	1222.446	1766.607	-627.470	1219.183	1783.383	-721.116	1109.913	1544.396	-764.394	1015.835	1846.823	-481.528	1096.251	1471.463	-679.105	696.614	1690.913	-286.792	973.524	1279.505	-567.709	753.628	1506.346	-398.517	1032.940	1861.547	-735.215	629.473	1620.558	-752.267	605.892	1849.119	-482.276	612.330	1334.675	-1012.999	1294.969	1428.000	-402.601	884.858	1035.381	-635.873	753.177	565.479	-1409.243	1206.474	747.145	-1397.748	1166.752	658.251	-1610.845	1241.792	687.434	-1675.255	1083.672	425.490	-1634.479	1027.446	892.133	-1497.803	1005.051	310.415	-1585.680	721.761	951.698	-1349.881	682.112	399.946	-1437.065	895.328	822.477	-1194.817	799.541	720.280	-1824.145	524.418	491.661	-1744.141	573.824	901.713	-1630.054	569.389	121.965	-1098.519	818.531	820.423	-1117.243	733.400	   NaN	   NaN	   NaN
9	0.09000	489.444	1117.251	1254.476	383.191	1098.706	1255.415	413.678	1347.257	1226.966	486.317	1363.446	1129.956	628.184	1144.954	1044.131	263.542	1464.411	1078.103	624.478	1068.754	713.530	79.653	1256.446	821.789	524.631	900.612	822.181	195.283	1086.652	933.575	543.342	1478.280	594.618	604.033	1224.676	606.805	290.121	1402.301	622.310	613.343	983.870	1469.407	270.140	1027.548	800.309	642.456	721.961	862.654	1517.013	585.209	1230.851	1515.463	700.750	1219.647	1736.642	642.316	1218.851	1788.833	632.304	1077.630	1636.876	437.797	1001.530	1721.998	862.047	1061.914	1469.160	379.978	727.496	1521.060	927.972	808.262	1295.060	397.170	849.956	1416.102	774.455	926.513	1839.853	666.204	583.002	1645.076	502.980	598.454	1665.826	862.635	605.000	1521.153	386.956	1483.372	1387.685	658.680	795.159	1172.519	256.785	946.801	1529.930	-649.220	1223.423	1560.994	-524.040	1222.480	1766.503	-627.478	1219.164	1783.291	-721.117	1109.914	1544.335	-764.467	1015.809	1846.618	-481.515	1096.307	1471.426	-679.180	696.550	1690.656	-286.838	973.563	1279.389	-567.885	753.550	1506.156	-398.588	1032.882	1861.528	-735.187	629.521	1620.573	-752.231	605.862	1849.102	-482.253	612.336	1334.834	-1013.490	1294.212	1427.764	-402.627	884.804	1035.303	-636.163	753.094	565.373	-1409.061	1206.208	747.047	-1397.538	1166.564	658.192	-1610.591	1241.647	687.436	-1675.155	1083.681	425.483	-1634.383	1027.425	892.143	-1497.701	1005.014	310.677	-1585.738	721.561	951.767	-1349.959	682.009	400.003	-1437.173	895.297	822.479	-1194.853	799.299	720.291	-1824.177	524.383	491.679	-1744.165	573.819	901.748	-1630.103	569.383	121.938	-1098.936	818.486	820.369	-1117.214	733.113	   NaN	   NaN	   NaN
10	0.10000	489.330	1116.960	1254.267	383.068	1098.263	1255.177	413.243	1347.067	1227.142	486.013	1363.193	1130.006	627.969	1144.802	1044.110	263.323	1464.259	1078.109	624.459	1069.016	713.444	79.340	1256.784	821.495	524.578	900.826	821.925	195.150	1086.776	932.817	543.170	1478.326	594.742	604.093	1224.666	606.806	290.091	1402.098	622.296	616.228	983.857	1466.210	269.550	1027.968	798.959	642.479	722.116	861.988	1516.856	585.710	1230.844	1515.369	701.205	1219.485	1736.517	642.687	1218.921	1788.721	632.442	1077.665	1636.705	437.989	1001.642	1722.004	862.126	1061.883	1469.105	380.137	727.527	1520.976	928.025	808.357	1294.958	397.626	849.855	1416.153	774.603	926.790	1839.815	666.220	583.014	1645.032	503.006	598.445	1665.790	862.645	604.979	1521.367	387.023	1483.808	1387.507	658.773	795.696	1172.041	257.557	946.854	1529.848	-649.376	1223.392	1560.816	-524.173	1222.507	1766.397	-627.477	1219.150	1783.204	-721.112	1109.916	1544.277	-764.524	1015.785	1846.416	-481.504	1096.354	1471.386	-679.244	696.487	1690.403	-286.873	973.595	1279.288	-568.041	753.486	1505.955	-398.672	1032.820	1861.517	-735.159	629.563	1620.586	-752.200	605.833	1849.085	-482.228	612.345	1334.934	-1013.920	1293.531	1427.538	-402.656	884.746	1035.234	-636.432	753.005	565.283	-1408.860	1205.939	746.961	-1397.334	1166.372	658.127	-1610.364	1241.545	687.445	-1675.058	1083.692	425.479	-1634.296	1027.417	892.155	-1497.599	1004.980	310.926	-1585.808	721.384	951.843	-1350.033	681.909	400.058	-1437.293	895.267	822.496	-1194.884	799.061	720.301	-1824.208	524.349	491.700	-1744.188	573.813	901.787	-1630.159	569.384	121.924	-1099.380	818.481	820.327	-1117.174	732.823	   NaN	   NaN	   NaN
