NO_OF_FRAMES	107
NO_OF_CAMERAS	0
NO_OF_MARKERS	64
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_SACR	S01_LASI	S01_RASI	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S02_LFHD	S02_RFHD	S02_OZ	S02_C7	S02_LSHO	S02_RSHO	S02_LELB	S02_RELB	S02_LWRB	S02_RWRB	S02_SACR	S02_LASI	S02_RASI	S02_IVIBoUp	S02_IVIBoLo	S02_IVISc	S03_LFHD	S03_RFHD	S03_OZ	S03_C7	S03_LSHO	S03_RSHO	S03_LELB	S03_RELB	S03_LWRB	S03_RWRB	S03_SACR	S03_LASI	S03_RASI	S03_IVIBoUp	S03_IVIBoLo	S03_IVISc	S04_LFHD	S04_RFHD	S04_OZ	S04_C7	S04_LSHO	S04_RSHO	S04_LELB	S04_RELB	S04_LWRB	S04_RWRB	S04_SACR	S04_LASI	S04_RASI	S04_IVIBoUp	S04_IVIBoLo	S04_IVISc	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_SACR X	S01_SACR Y	S01_SACR Z	S01_LASI X	S01_LASI Y	S01_LASI Z	S01_RASI X	S01_RASI Y	S01_RASI Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S02_LFHD X	S02_LFHD Y	S02_LFHD Z	S02_RFHD X	S02_RFHD Y	S02_RFHD Z	S02_OZ X	S02_OZ Y	S02_OZ Z	S02_C7 X	S02_C7 Y	S02_C7 Z	S02_LSHO X	S02_LSHO Y	S02_LSHO Z	S02_RSHO X	S02_RSHO Y	S02_RSHO Z	S02_LELB X	S02_LELB Y	S02_LELB Z	S02_RELB X	S02_RELB Y	S02_RELB Z	S02_LWRB X	S02_LWRB Y	S02_LWRB Z	S02_RWRB X	S02_RWRB Y	S02_RWRB Z	S02_SACR X	S02_SACR Y	S02_SACR Z	S02_LASI X	S02_LASI Y	S02_LASI Z	S02_RASI X	S02_RASI Y	S02_RASI Z	S02_IVIBoUp X	S02_IVIBoUp Y	S02_IVIBoUp Z	S02_IVIBoLo X	S02_IVIBoLo Y	S02_IVIBoLo Z	S02_IVISc X	S02_IVISc Y	S02_IVISc Z	S03_LFHD X	S03_LFHD Y	S03_LFHD Z	S03_RFHD X	S03_RFHD Y	S03_RFHD Z	S03_OZ X	S03_OZ Y	S03_OZ Z	S03_C7 X	S03_C7 Y	S03_C7 Z	S03_LSHO X	S03_LSHO Y	S03_LSHO Z	S03_RSHO X	S03_RSHO Y	S03_RSHO Z	S03_LELB X	S03_LELB Y	S03_LELB Z	S03_RELB X	S03_RELB Y	S03_RELB Z	S03_LWRB X	S03_LWRB Y	S03_LWRB Z	S03_RWRB X	S03_RWRB Y	S03_RWRB Z	S03_SACR X	S03_SACR Y	S03_SACR Z	S03_LASI X	S03_LASI Y	S03_LASI Z	S03_RASI X	S03_RASI Y	S03_RASI Z	S03_IVIBoUp X	S03_IVIBoUp Y	S03_IVIBoUp Z	S03_IVIBoLo X	S03_IVIBoLo Y	S03_IVIBoLo Z	S03_IVISc X	S03_IVISc Y	S03_IVISc Z	S04_LFHD X	S04_LFHD Y	S04_LFHD Z	S04_RFHD X	S04_RFHD Y	S04_RFHD Z	S04_OZ X	S04_OZ Y	S04_OZ Z	S04_C7 X	S04_C7 Y	S04_C7 Z	S04_LSHO X	S04_LSHO Y	S04_LSHO Z	S04_RSHO X	S04_RSHO Y	S04_RSHO Z	S04_LELB X	S04_LELB Y	S04_LELB Z	S04_RELB X	S04_RELB Y	S04_RELB Z	S04_LWRB X	S04_LWRB Y	S04_LWRB Z	S04_RWRB X	S04_RWRB Y	S04_RWRB Z	S04_SACR X	S04_SACR Y	S04_SACR Z	S04_LASI X	S04_LASI Y	S04_LASI Z	S04_RASI X	S04_RASI Y	S04_RASI Z	S04_IVIBoUp X	S04_IVIBoUp Y	S04_IVIBoUp Z	S04_IVIBoLo X	S04_IVIBoLo Y	S04_IVIBoLo Z	S04_IVISc X	S04_IVISc Y	S04_IVISc Z	
1	0.01000	481.709	934.295	1189.001	379.785	945.411	1216.634	484.240	1174.556	1226.146	504.100	1189.905	1134.118	635.505	992.726	1015.599	295.100	1292.179	1103.195	612.996	948.993	697.587	99.183	1217.315	785.194	536.756	767.050	813.444	167.544	1000.109	844.308	543.076	1403.435	598.478	617.539	1152.691	594.404	301.425	1314.919	667.625	433.906	735.637	1395.895	263.543	954.923	696.752	620.135	563.001	848.436	1575.055	641.937	1254.854	1556.471	754.999	1234.561	1783.079	727.756	1228.199	1810.653	700.034	1081.616	1665.766	495.754	1019.684	1727.366	913.533	1065.831	1499.562	419.916	758.357	1520.991	1025.373	823.228	1332.419	427.312	890.736	1396.175	864.145	906.218	1861.448	719.220	597.057	1692.848	533.530	603.212	1665.510	891.031	603.364	1503.377	477.406	1445.877	1361.638	750.438	759.237	1224.842	281.303	999.515	1610.884	-621.788	1265.139	1653.751	-499.397	1251.190	1844.799	-622.668	1219.487	1822.885	-716.597	1108.893	1574.686	-752.130	1050.226	1893.825	-478.547	1090.717	1473.614	-674.600	766.371	1757.826	-235.541	969.258	1327.252	-547.409	891.432	1565.238	-320.379	1048.502	1875.705	-734.024	621.377	1631.697	-754.412	613.499	1855.757	-483.555	610.327	1390.888	-900.609	1335.855	1477.359	-321.102	895.537	1022.906	-603.070	936.688	609.498	-1500.403	1278.096	789.511	-1481.114	1238.541	676.604	-1685.537	1182.321	720.701	-1676.264	1081.919	473.892	-1655.802	1045.641	905.155	-1497.912	1010.628	260.876	-1639.016	841.318	1105.038	-1472.568	759.330	395.070	-1501.557	989.146	1026.151	-1266.255	841.272	721.163	-1827.631	519.285	492.020	-1744.600	570.888	900.156	-1633.402	561.990	368.280	-1107.841	827.067	1068.774	-1159.488	770.645	   NaN	   NaN	   NaN
2	0.02000	482.049	934.383	1189.058	380.076	945.398	1216.676	484.313	1174.652	1226.209	504.193	1189.977	1134.135	635.679	992.853	1015.600	295.120	1292.083	1103.144	613.142	949.286	697.550	98.832	1217.414	785.466	537.269	766.842	812.937	167.558	1000.176	844.212	543.063	1403.385	598.504	617.501	1152.670	594.385	301.405	1314.865	667.644	436.826	736.892	1394.839	262.841	955.090	696.196	620.542	563.149	848.130	1574.915	641.254	1254.671	1556.139	754.423	1234.433	1782.777	727.389	1228.145	1810.479	699.857	1081.648	1665.798	495.476	1019.483	1727.005	913.272	1065.963	1499.926	419.719	757.890	1520.729	1025.574	823.589	1332.633	426.847	890.070	1396.114	864.012	906.296	1861.452	719.255	597.041	1692.881	533.551	603.162	1665.489	891.054	603.375	1505.622	473.486	1442.947	1361.164	751.273	758.766	1225.052	280.746	998.747	1611.376	-619.778	1265.171	1655.122	-497.698	1251.032	1845.081	-622.558	1219.328	1822.877	-716.043	1108.967	1574.561	-750.775	1050.476	1894.231	-478.319	1090.544	1473.638	-673.794	766.481	1758.785	-234.917	969.641	1327.681	-545.891	891.399	1566.107	-319.497	1048.948	1875.708	-733.974	621.366	1631.687	-754.388	613.505	1855.793	-483.492	610.220	1391.754	-901.056	1333.798	1477.808	-319.336	896.180	1023.289	-600.353	936.984	609.637	-1500.630	1278.168	789.639	-1481.294	1238.542	676.761	-1685.726	1182.335	720.755	-1676.457	1081.902	474.010	-1655.850	1045.566	905.295	-1498.167	1010.615	261.029	-1638.999	841.009	1104.997	-1473.139	759.253	395.321	-1501.138	988.298	1026.139	-1266.907	841.411	721.177	-1827.646	519.238	492.046	-1744.641	570.874	900.132	-1633.393	561.935	368.218	-1109.206	826.787	1068.838	-1159.974	771.087	   NaN	   NaN	   NaN
3	0.03000	482.416	934.457	1189.128	380.382	945.378	1216.730	484.398	1174.750	1226.272	504.299	1190.057	1134.158	635.875	992.993	1015.617	295.145	1291.975	1103.094	613.274	949.559	697.528	98.474	1217.499	785.780	537.788	766.630	812.432	167.580	1000.222	844.160	543.064	1403.321	598.526	617.469	1152.648	594.365	301.388	1314.804	667.661	439.889	738.128	1393.798	262.129	955.215	695.684	620.952	563.283	847.828	1574.796	640.557	1254.522	1555.810	753.857	1234.322	1782.477	727.049	1228.100	1810.301	699.682	1081.680	1665.799	495.202	1019.298	1726.653	913.005	1066.099	1500.256	419.545	757.440	1520.436	1025.744	823.980	1332.818	426.460	889.428	1396.051	863.839	906.431	1861.454	719.288	597.025	1692.913	533.570	603.107	1665.471	891.075	603.387	1507.775	469.871	1440.186	1360.646	752.071	758.355	1225.251	280.221	997.963	1611.846	-617.713	1265.190	1656.566	-495.956	1250.879	1845.310	-622.544	1219.176	1822.863	-715.496	1109.034	1574.427	-749.400	1050.699	1894.653	-478.099	1090.371	1473.662	-672.997	766.589	1759.743	-234.349	969.938	1328.158	-544.304	891.359	1566.999	-318.597	1049.378	1875.705	-733.919	621.360	1631.666	-754.375	613.504	1855.786	-483.445	610.058	1392.511	-901.378	1331.927	1478.336	-317.663	896.811	1023.662	-597.708	937.248	609.781	-1500.840	1278.239	789.770	-1481.483	1238.533	676.896	-1685.906	1182.345	720.790	-1676.641	1081.880	474.091	-1655.892	1045.495	905.423	-1498.410	1010.640	261.195	-1638.951	840.731	1104.944	-1473.640	759.163	395.544	-1500.994	987.785	1026.121	-1267.502	841.567	721.184	-1827.662	519.200	492.066	-1744.673	570.864	900.098	-1633.383	561.888	368.163	-1110.540	826.410	1068.933	-1160.416	771.590	   NaN	   NaN	   NaN
4	0.04000	482.815	934.497	1189.214	380.703	945.351	1216.800	484.491	1174.851	1226.334	504.419	1190.141	1134.187	636.098	993.149	1015.645	295.185	1291.875	1103.072	613.389	949.817	697.514	98.107	1217.560	786.142	538.312	766.416	811.930	167.600	1000.240	844.168	543.084	1403.235	598.540	617.449	1152.623	594.351	301.370	1314.737	667.672	443.064	739.347	1392.740	261.418	955.296	695.191	621.349	563.417	847.521	1574.670	639.887	1254.420	1555.486	753.306	1234.224	1782.179	726.747	1228.075	1810.123	699.509	1081.712	1665.779	494.935	1019.126	1726.315	912.729	1066.236	1500.553	419.392	757.009	1520.117	1025.888	824.402	1332.970	426.152	888.804	1395.987	863.625	906.613	1861.454	719.317	597.008	1692.948	533.587	603.051	1665.456	891.093	603.398	1509.849	466.514	1437.588	1360.057	752.845	758.005	1225.438	279.726	997.168	1612.295	-615.588	1265.202	1658.088	-494.159	1250.732	1845.524	-622.593	1219.040	1822.844	-714.960	1109.101	1574.284	-748.018	1050.902	1895.088	-477.893	1090.198	1473.686	-672.208	766.695	1760.706	-233.796	970.183	1328.670	-542.665	891.300	1567.913	-317.673	1049.789	1875.695	-733.859	621.360	1631.636	-754.368	613.496	1855.738	-483.419	609.849	1393.140	-901.519	1330.290	1478.953	-316.069	897.424	1024.019	-595.131	937.491	609.929	-1501.023	1278.307	789.907	-1481.681	1238.512	677.003	-1686.074	1182.348	720.805	-1676.814	1081.852	474.131	-1655.936	1045.437	905.542	-1498.633	1010.703	261.358	-1638.892	840.512	1104.874	-1474.065	759.037	395.695	-1501.155	987.681	1026.099	-1268.040	841.730	721.184	-1827.678	519.171	492.079	-1744.698	570.857	900.061	-1633.372	561.852	368.116	-1111.829	825.958	1069.061	-1160.819	772.140	   NaN	   NaN	   NaN
5	0.05000	483.251	934.484	1189.314	381.033	945.323	1216.890	484.586	1174.960	1226.396	504.553	1190.229	1134.222	636.345	993.322	1015.678	295.249	1291.798	1103.094	613.495	950.066	697.502	97.729	1217.583	786.556	538.843	766.198	811.430	167.614	1000.225	844.251	543.128	1403.121	598.542	617.444	1152.595	594.346	301.349	1314.664	667.673	446.319	740.552	1391.627	260.696	955.356	694.698	621.720	563.559	847.208	1574.519	639.272	1254.364	1555.169	752.771	1234.130	1781.883	726.477	1228.067	1809.946	699.337	1081.741	1665.751	494.679	1018.959	1725.996	912.443	1066.375	1500.822	419.256	756.597	1519.779	1026.011	824.853	1333.095	425.914	888.198	1395.920	863.376	906.828	1861.455	719.340	596.991	1692.985	533.599	602.994	1665.442	891.103	603.404	1511.863	463.366	1435.146	1359.382	753.607	757.715	1225.605	279.266	996.372	1612.725	-613.414	1265.211	1659.685	-492.310	1250.589	1845.750	-622.673	1218.930	1822.819	-714.435	1109.173	1574.134	-746.640	1051.093	1895.539	-477.699	1090.025	1473.712	-671.428	766.798	1761.685	-233.231	970.405	1329.199	-540.992	891.222	1568.849	-316.725	1050.184	1875.671	-733.796	621.363	1631.597	-754.363	613.483	1855.658	-483.415	609.606	1393.639	-901.453	1328.904	1479.651	-314.536	898.014	1024.359	-592.602	937.725	610.081	-1501.175	1278.365	790.048	-1481.886	1238.482	677.081	-1686.230	1182.346	720.802	-1676.976	1081.820	474.127	-1655.991	1045.397	905.650	-1498.836	1010.799	261.502	-1638.843	840.372	1104.787	-1474.414	758.865	395.748	-1501.614	988.006	1026.077	-1268.524	841.888	721.178	-1827.696	519.151	492.085	-1744.716	570.851	900.027	-1633.361	561.829	368.083	-1113.054	825.446	1069.214	-1161.179	772.717	   NaN	   NaN	   NaN
6	0.06000	483.722	934.413	1189.425	381.369	945.301	1216.997	484.680	1175.078	1226.463	504.701	1190.319	1134.260	636.613	993.506	1015.707	295.339	1291.746	1103.156	613.601	950.309	697.487	97.338	1217.554	787.024	539.379	765.976	810.934	167.620	1000.171	844.422	543.191	1402.979	598.532	617.452	1152.564	594.348	301.323	1314.586	667.662	449.639	741.742	1390.429	259.948	955.421	694.198	622.062	563.713	846.903	1574.355	638.701	1254.320	1554.862	752.258	1234.035	1781.591	726.221	1228.072	1809.772	699.165	1081.765	1665.725	494.438	1018.788	1725.701	912.139	1066.513	1501.069	419.132	756.204	1519.425	1026.113	825.327	1333.200	425.732	887.611	1395.843	863.103	907.057	1861.459	719.357	596.974	1693.024	533.603	602.938	1665.430	891.104	603.404	1513.831	460.386	1432.846	1358.631	754.351	757.480	1225.741	278.854	995.582	1613.145	-611.214	1265.222	1661.337	-490.433	1250.451	1845.997	-622.766	1218.844	1822.786	-713.920	1109.252	1573.977	-745.277	1051.280	1896.008	-477.514	1089.854	1473.737	-670.656	766.900	1762.691	-232.664	970.606	1329.732	-539.288	891.135	1569.806	-315.759	1050.567	1875.632	-733.729	621.367	1631.551	-754.359	613.470	1855.556	-483.427	609.349	1394.027	-901.186	1327.763	1480.414	-313.050	898.577	1024.682	-590.094	937.954	610.235	-1501.297	1278.414	790.193	-1482.097	1238.443	677.130	-1686.378	1182.343	720.786	-1677.129	1081.787	474.085	-1656.059	1045.374	905.747	-1499.019	1010.918	261.615	-1638.821	840.318	1104.683	-1474.713	758.664	395.701	-1502.326	988.710	1026.059	-1268.969	842.044	721.169	-1827.714	519.136	492.082	-1744.731	570.847	899.996	-1633.350	561.818	368.072	-1114.188	824.883	1069.385	-1161.492	773.303	   NaN	   NaN	   NaN
7	0.07000	484.219	934.302	1189.552	381.709	945.298	1217.118	484.768	1175.211	1226.539	504.862	1190.410	1134.298	636.889	993.691	1015.727	295.453	1291.712	1103.247	613.717	950.547	697.470	96.938	1217.456	787.545	539.920	765.751	810.440	167.621	1000.081	844.688	543.259	1402.827	598.516	617.468	1152.535	594.357	301.291	1314.503	667.643	453.030	742.915	1389.140	259.165	955.499	693.698	622.384	563.873	846.629	1574.196	638.151	1254.244	1554.570	751.769	1233.936	1781.307	725.964	1228.082	1809.602	698.991	1081.784	1665.704	494.214	1018.608	1725.431	911.807	1066.651	1501.298	419.014	755.825	1519.057	1026.197	825.813	1333.299	425.583	887.046	1395.745	862.822	907.283	1861.468	719.367	596.957	1693.066	533.599	602.883	1665.419	891.094	603.397	1515.763	457.537	1430.670	1357.851	755.044	757.294	1225.833	278.504	994.809	1613.563	-609.016	1265.240	1663.003	-488.586	1250.323	1846.263	-622.859	1218.778	1822.743	-713.413	1109.336	1573.810	-743.934	1051.470	1896.500	-477.332	1089.688	1473.763	-669.890	766.999	1763.734	-232.117	970.782	1330.258	-537.532	891.055	1570.784	-314.782	1050.939	1875.577	-733.658	621.371	1631.497	-754.355	613.463	1855.445	-483.451	609.096	1394.328	-900.737	1326.849	1481.224	-311.602	899.109	1024.989	-587.581	938.178	610.388	-1501.393	1278.451	790.339	-1482.311	1238.399	677.152	-1686.519	1182.342	720.760	-1677.272	1081.754	474.016	-1656.140	1045.363	905.825	-1499.184	1011.050	261.689	-1638.838	840.348	1104.568	-1474.997	758.476	395.568	-1503.213	989.692	1026.050	-1269.392	842.210	721.159	-1827.733	519.125	492.071	-1744.746	570.846	899.970	-1633.339	561.814	368.089	-1115.211	824.277	1069.566	-1161.764	773.893	   NaN	   NaN	   NaN
8	0.08000	484.723	934.207	1189.705	382.057	945.320	1217.251	484.850	1175.361	1226.627	505.031	1190.501	1134.335	637.161	993.866	1015.740	295.588	1291.689	1103.354	613.852	950.776	697.455	96.526	1217.288	788.115	540.467	765.523	809.948	167.622	999.963	845.051	543.313	1402.691	598.505	617.488	1152.511	594.368	301.255	1314.413	667.618	456.520	744.063	1387.770	258.344	955.581	693.217	622.700	564.030	846.406	1574.018	637.656	1254.132	1554.293	751.307	1233.834	1781.038	725.700	1228.091	1809.433	698.813	1081.796	1665.685	494.003	1018.415	1725.183	911.440	1066.787	1501.514	418.900	755.454	1518.673	1026.266	826.302	1333.402	425.448	886.504	1395.614	862.546	907.491	1861.483	719.373	596.942	1693.108	533.589	602.828	1665.411	891.076	603.386	1517.662	454.799	1428.596	1357.105	755.636	757.148	1225.873	278.222	994.062	1613.984	-606.845	1265.274	1664.629	-486.848	1250.210	1846.544	-622.943	1218.725	1822.688	-712.914	1109.421	1573.633	-742.611	1051.664	1897.017	-477.149	1089.531	1473.790	-669.132	767.095	1764.813	-231.592	970.938	1330.774	-535.687	890.998	1571.780	-313.803	1051.298	1875.504	-733.582	621.373	1631.438	-754.349	613.468	1855.336	-483.479	608.862	1394.568	-900.118	1326.146	1482.066	-310.186	899.608	1025.283	-585.047	938.387	610.535	-1501.471	1278.478	790.483	-1482.530	1238.356	677.151	-1686.654	1182.343	720.733	-1677.407	1081.722	473.930	-1656.236	1045.360	905.879	-1499.334	1011.178	261.722	-1638.896	840.445	1104.452	-1475.300	758.337	395.377	-1504.178	990.817	1026.050	-1269.814	842.400	721.151	-1827.750	519.114	492.054	-1744.762	570.846	899.948	-1633.329	561.815	368.132	-1116.107	823.632	1069.754	-1162.017	774.485	   NaN	   NaN	   NaN
9	0.09000	485.198	934.216	1189.892	382.426	945.368	1217.394	484.928	1175.528	1226.730	505.204	1190.590	1134.370	637.419	994.024	1015.751	295.738	1291.670	1103.471	614.010	950.995	697.453	96.102	1217.061	788.729	541.020	765.291	809.460	167.630	999.825	845.507	543.341	1402.585	598.505	617.507	1152.495	594.378	301.217	1314.314	667.593	460.147	745.179	1386.349	257.490	955.645	692.783	623.028	564.175	846.243	1573.748	637.312	1254.023	1554.030	750.868	1233.731	1780.787	725.433	1228.097	1809.267	698.631	1081.801	1665.661	493.803	1018.211	1724.949	911.039	1066.924	1501.721	418.787	755.088	1518.274	1026.319	826.785	1333.511	425.318	885.983	1395.439	862.283	907.673	1861.503	719.374	596.929	1693.151	533.573	602.773	1665.404	891.052	603.374	1519.524	452.164	1426.604	1356.438	756.100	757.029	1225.854	278.009	993.351	1614.411	-604.721	1265.330	1666.175	-485.274	1250.117	1846.834	-623.008	1218.678	1822.620	-712.423	1109.504	1573.442	-741.309	1051.862	1897.557	-476.967	1089.385	1473.818	-668.380	767.190	1765.919	-231.071	971.096	1331.279	-533.718	890.977	1572.792	-312.831	1051.641	1875.418	-733.499	621.375	1631.374	-754.339	613.489	1855.238	-483.506	608.657	1394.765	-899.335	1325.640	1482.929	-308.798	900.069	1025.563	-582.489	938.572	610.673	-1501.539	1278.493	790.625	-1482.750	1238.317	677.132	-1686.784	1182.346	720.711	-1677.530	1081.692	473.839	-1656.347	1045.361	905.911	-1499.468	1011.285	261.718	-1638.991	840.585	1104.341	-1475.637	758.268	395.159	-1505.117	991.937	1026.056	-1270.243	842.619	721.145	-1827.765	519.103	492.036	-1744.779	570.847	899.928	-1633.320	561.817	368.191	-1116.867	822.949	1069.943	-1162.274	775.078	   NaN	   NaN	   NaN
10	0.10000	485.611	934.434	1190.114	382.828	945.436	1217.551	485.006	1175.713	1226.843	505.375	1190.678	1134.402	637.658	994.163	1015.769	295.899	1291.648	1103.597	614.184	951.200	697.470	95.661	1216.791	789.381	541.578	765.056	808.974	167.650	999.671	846.041	543.344	1402.513	598.518	617.522	1152.486	594.386	301.180	1314.204	667.572	463.956	746.253	1384.908	256.606	955.668	692.429	623.380	564.307	846.137	1573.338	637.182	1253.955	1553.777	750.447	1233.632	1780.551	725.170	1228.099	1809.104	698.445	1081.804	1665.629	493.609	1018.002	1724.717	910.626	1067.073	1501.923	418.673	754.724	1517.860	1026.357	827.256	1333.622	425.191	885.481	1395.216	862.031	907.832	1861.527	719.372	596.915	1693.195	533.554	602.718	1665.400	891.025	603.364	1521.339	449.638	1424.670	1355.861	756.447	756.925	1225.779	277.858	992.677	1614.846	-602.658	1265.412	1667.632	-483.865	1250.040	1847.128	-623.049	1218.632	1822.540	-711.943	1109.586	1573.239	-740.021	1052.065	1898.115	-476.795	1089.252	1473.847	-667.634	767.282	1767.045	-230.542	971.268	1331.776	-531.625	890.991	1573.814	-311.871	1051.967	1875.322	-733.409	621.377	1631.307	-754.321	613.527	1855.154	-483.529	608.482	1394.925	-898.397	1325.322	1483.809	-307.430	900.485	1025.830	-579.914	938.726	610.799	-1501.600	1278.495	790.761	-1482.966	1238.283	677.099	-1686.909	1182.347	720.697	-1677.639	1081.666	473.750	-1656.472	1045.363	905.928	-1499.583	1011.359	261.684	-1639.118	840.739	1104.243	-1476.017	758.278	394.941	-1505.928	992.913	1026.064	-1270.687	842.869	721.142	-1827.779	519.089	492.022	-1744.797	570.845	899.909	-1633.312	561.820	368.252	-1117.488	822.229	1070.118	-1162.564	775.669	   NaN	   NaN	   NaN
