NO_OF_FRAMES	65
NO_OF_CAMERAS	0
NO_OF_MARKERS	64
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_SACR	S01_LASI	S01_RASI	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S02_LFHD	S02_RFHD	S02_OZ	S02_C7	S02_LSHO	S02_RSHO	S02_LELB	S02_RELB	S02_LWRB	S02_RWRB	S02_SACR	S02_LASI	S02_RASI	S02_IVIBoUp	S02_IVIBoLo	S02_IVISc	S03_LFHD	S03_RFHD	S03_OZ	S03_C7	S03_LSHO	S03_RSHO	S03_LELB	S03_RELB	S03_LWRB	S03_RWRB	S03_SACR	S03_LASI	S03_RASI	S03_IVIBoUp	S03_IVIBoLo	S03_IVISc	S04_LFHD	S04_RFHD	S04_OZ	S04_C7	S04_LSHO	S04_RSHO	S04_LELB	S04_RELB	S04_LWRB	S04_RWRB	S04_SACR	S04_LASI	S04_RASI	S04_IVIBoUp	S04_IVIBoLo	S04_IVISc	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_SACR X	S01_SACR Y	S01_SACR Z	S01_LASI X	S01_LASI Y	S01_LASI Z	S01_RASI X	S01_RASI Y	S01_RASI Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S02_LFHD X	S02_LFHD Y	S02_LFHD Z	S02_RFHD X	S02_RFHD Y	S02_RFHD Z	S02_OZ X	S02_OZ Y	S02_OZ Z	S02_C7 X	S02_C7 Y	S02_C7 Z	S02_LSHO X	S02_LSHO Y	S02_LSHO Z	S02_RSHO X	S02_RSHO Y	S02_RSHO Z	S02_LELB X	S02_LELB Y	S02_LELB Z	S02_RELB X	S02_RELB Y	S02_RELB Z	S02_LWRB X	S02_LWRB Y	S02_LWRB Z	S02_RWRB X	S02_RWRB Y	S02_RWRB Z	S02_SACR X	S02_SACR Y	S02_SACR Z	S02_LASI X	S02_LASI Y	S02_LASI Z	S02_RASI X	S02_RASI Y	S02_RASI Z	S02_IVIBoUp X	S02_IVIBoUp Y	S02_IVIBoUp Z	S02_IVIBoLo X	S02_IVIBoLo Y	S02_IVIBoLo Z	S02_IVISc X	S02_IVISc Y	S02_IVISc Z	S03_LFHD X	S03_LFHD Y	S03_LFHD Z	S03_RFHD X	S03_RFHD Y	S03_RFHD Z	S03_OZ X	S03_OZ Y	S03_OZ Z	S03_C7 X	S03_C7 Y	S03_C7 Z	S03_LSHO X	S03_LSHO Y	S03_LSHO Z	S03_RSHO X	S03_RSHO Y	S03_RSHO Z	S03_LELB X	S03_LELB Y	S03_LELB Z	S03_RELB X	S03_RELB Y	S03_RELB Z	S03_LWRB X	S03_LWRB Y	S03_LWRB Z	S03_RWRB X	S03_RWRB Y	S03_RWRB Z	S03_SACR X	S03_SACR Y	S03_SACR Z	S03_LASI X	S03_LASI Y	S03_LASI Z	S03_RASI X	S03_RASI Y	S03_RASI Z	S03_IVIBoUp X	S03_IVIBoUp Y	S03_IVIBoUp Z	S03_IVIBoLo X	S03_IVIBoLo Y	S03_IVIBoLo Z	S03_IVISc X	S03_IVISc Y	S03_IVISc Z	S04_LFHD X	S04_LFHD Y	S04_LFHD Z	S04_RFHD X	S04_RFHD Y	S04_RFHD Z	S04_OZ X	S04_OZ Y	S04_OZ Z	S04_C7 X	S04_C7 Y	S04_C7 Z	S04_LSHO X	S04_LSHO Y	S04_LSHO Z	S04_RSHO X	S04_RSHO Y	S04_RSHO Z	S04_LELB X	S04_LELB Y	S04_LELB Z	S04_RELB X	S04_RELB Y	S04_RELB Z	S04_LWRB X	S04_LWRB Y	S04_LWRB Z	S04_RWRB X	S04_RWRB Y	S04_RWRB Z	S04_SACR X	S04_SACR Y	S04_SACR Z	S04_LASI X	S04_LASI Y	S04_LASI Z	S04_RASI X	S04_RASI Y	S04_RASI Z	S04_IVIBoUp X	S04_IVIBoUp Y	S04_IVIBoUp Z	S04_IVIBoLo X	S04_IVIBoLo Y	S04_IVIBoLo Z	S04_IVISc X	S04_IVISc Y	S04_IVISc Z	
1	0.01000	508.115	1000.517	1214.834	406.037	1014.501	1241.146	511.179	1242.865	1226.777	534.593	1244.390	1130.892	648.805	1028.100	1026.108	335.955	1350.088	1107.420	617.003	956.455	712.803	77.530	1245.374	857.899	507.963	822.477	831.884	154.077	1033.197	926.922	557.396	1413.867	579.551	626.735	1164.694	597.327	312.900	1335.992	660.089	538.874	790.107	1416.642	226.927	998.537	765.546	595.109	585.195	884.608	1578.298	617.469	1249.997	1562.543	730.795	1229.746	1788.377	698.957	1225.851	1817.880	674.679	1080.136	1667.222	473.360	1017.829	1732.901	887.493	1069.453	1492.677	410.138	757.480	1527.035	1024.774	846.460	1326.818	420.183	891.066	1399.943	860.080	920.763	1862.931	690.199	588.975	1685.539	510.441	602.123	1673.740	867.830	603.525	1580.895	401.465	1370.901	1341.902	771.359	760.635	1217.755	271.033	999.574	1602.374	-652.958	1253.894	1670.394	-545.250	1260.371	1832.554	-702.716	1223.959	1816.295	-762.255	1095.942	1564.653	-758.664	1026.262	1919.852	-526.817	1103.106	1485.694	-715.492	726.609	1848.299	-264.018	964.143	1301.213	-475.167	846.358	1633.658	-313.004	1013.730	1872.921	-736.558	618.903	1628.176	-751.215	613.074	1860.036	-485.082	610.196	1339.406	-825.296	1324.515	1571.362	-321.495	847.683	1055.929	-490.107	884.231	621.363	-1484.355	1288.921	800.512	-1491.543	1244.650	662.443	-1682.519	1200.897	709.462	-1674.973	1091.384	459.665	-1643.851	1047.622	900.178	-1494.432	1017.667	264.400	-1604.425	820.553	1075.876	-1448.653	753.495	379.569	-1488.196	994.617	965.256	-1260.759	839.253	720.238	-1823.628	542.605	487.069	-1731.028	573.168	894.725	-1622.052	567.567	293.771	-1135.570	828.693	994.418	-1160.485	771.915	   NaN	   NaN	   NaN
2	0.02000	509.920	1001.547	1216.437	407.476	1014.489	1242.660	509.944	1244.097	1226.163	534.520	1244.376	1130.969	647.858	1027.807	1026.295	336.392	1349.855	1108.338	616.150	954.614	713.152	77.170	1241.459	862.122	508.664	821.367	831.040	155.480	1032.069	936.635	557.372	1413.999	579.664	626.639	1164.792	597.487	312.909	1335.869	660.168	550.782	790.786	1422.817	226.230	995.627	776.562	592.648	584.054	886.371	1578.002	617.326	1249.893	1562.197	730.643	1229.576	1788.060	698.977	1225.868	1817.695	674.685	1080.176	1667.247	473.252	1017.773	1732.375	887.428	1069.587	1492.896	409.907	757.201	1526.408	1024.741	846.966	1327.115	419.977	890.822	1399.642	859.706	921.103	1862.874	690.233	588.971	1685.537	510.425	602.113	1673.650	867.813	603.544	1582.325	400.067	1369.251	1341.251	771.521	760.710	1217.889	270.687	999.186	1602.558	-652.890	1253.979	1670.595	-545.139	1260.377	1832.756	-702.566	1223.952	1816.441	-762.147	1095.976	1564.803	-758.659	1026.336	1919.843	-526.687	1103.082	1485.762	-715.501	726.620	1847.966	-263.918	964.188	1301.246	-475.273	846.541	1633.379	-313.085	1013.836	1872.950	-736.555	618.897	1628.214	-751.219	613.089	1860.044	-485.086	610.181	1339.725	-826.217	1323.988	1571.106	-321.507	847.819	1055.970	-490.179	884.444	621.117	-1483.777	1288.535	800.249	-1491.033	1244.228	662.436	-1682.185	1201.560	709.102	-1675.163	1091.357	459.317	-1643.644	1047.439	900.081	-1494.739	1017.826	264.432	-1603.230	820.130	1076.003	-1449.003	753.791	379.514	-1487.607	994.647	965.142	-1261.079	839.144	720.232	-1823.670	542.562	487.016	-1731.095	573.120	894.664	-1622.066	567.589	293.524	-1136.941	827.467	994.304	-1160.740	771.768	   NaN	   NaN	   NaN
3	0.03000	511.686	1002.455	1217.910	408.912	1014.358	1244.033	508.742	1245.222	1225.593	534.482	1244.327	1131.030	646.996	1027.503	1026.399	336.824	1349.578	1109.264	615.300	952.769	713.417	77.150	1237.201	866.161	509.424	820.281	830.131	157.286	1031.106	946.711	557.346	1414.139	579.791	626.543	1164.903	597.680	312.915	1335.733	660.293	562.511	791.757	1430.097	225.834	992.156	788.452	590.112	582.950	887.780	1577.695	617.184	1249.770	1561.836	730.502	1229.390	1787.730	698.997	1225.878	1817.510	674.688	1080.210	1667.270	473.147	1017.716	1731.913	887.269	1069.660	1493.092	409.673	756.862	1525.793	1024.731	847.461	1327.413	419.788	890.558	1399.330	859.369	921.420	1862.819	690.256	588.975	1685.528	510.411	602.108	1673.557	867.795	603.560	1583.755	398.585	1367.547	1340.611	771.703	760.782	1218.020	270.345	998.801	1602.724	-652.828	1254.042	1670.781	-545.052	1260.366	1832.948	-702.419	1223.967	1816.582	-762.042	1096.011	1564.942	-758.652	1026.404	1919.824	-526.558	1103.071	1485.830	-715.509	726.631	1847.643	-263.814	964.239	1301.269	-475.368	846.715	1633.101	-313.176	1013.917	1872.981	-736.547	618.891	1628.254	-751.214	613.105	1860.055	-485.080	610.168	1340.015	-827.108	1323.483	1570.854	-321.541	847.937	1056.011	-490.243	884.669	620.869	-1483.154	1288.111	799.979	-1490.497	1243.798	662.433	-1681.883	1202.254	708.754	-1675.343	1091.338	458.983	-1643.439	1047.267	899.987	-1495.050	1017.979	264.461	-1602.026	819.739	1076.111	-1449.373	754.068	379.462	-1487.036	994.729	965.037	-1261.434	839.055	720.229	-1823.706	542.520	486.965	-1731.159	573.074	894.607	-1622.085	567.611	293.284	-1138.335	826.184	994.200	-1160.996	771.685	   NaN	   NaN	   NaN
4	0.04000	513.392	1003.245	1219.218	410.374	1014.103	1245.200	507.604	1246.230	1225.105	534.494	1244.250	1131.066	646.257	1027.170	1026.424	337.251	1349.260	1110.215	614.446	950.942	713.593	77.470	1232.622	869.997	510.242	819.218	829.159	159.497	1030.322	956.940	557.315	1414.282	579.923	626.450	1165.035	597.897	312.892	1335.631	660.479	573.942	793.004	1438.357	225.693	988.203	801.064	587.699	582.024	888.693	1577.377	617.045	1249.618	1561.464	730.374	1229.183	1787.384	699.019	1225.887	1817.325	674.689	1080.243	1667.294	473.044	1017.659	1731.514	887.021	1069.675	1493.268	409.452	756.457	1525.188	1024.749	847.940	1327.710	419.624	890.272	1399.005	859.076	921.714	1862.766	690.274	588.982	1685.516	510.399	602.108	1673.461	867.774	603.570	1585.187	396.998	1365.778	1339.989	771.901	760.860	1218.145	270.018	998.414	1602.882	-652.759	1254.077	1670.943	-544.997	1260.339	1833.132	-702.275	1224.007	1816.715	-761.938	1096.047	1565.073	-758.642	1026.463	1919.798	-526.429	1103.071	1485.897	-715.518	726.642	1847.330	-263.714	964.291	1301.282	-475.444	846.886	1632.827	-313.289	1013.979	1873.012	-736.533	618.887	1628.296	-751.199	613.122	1860.068	-485.065	610.159	1340.270	-827.958	1323.014	1570.590	-321.587	848.041	1056.047	-490.313	884.895	620.619	-1482.492	1287.652	799.704	-1489.936	1243.354	662.412	-1681.624	1202.976	708.418	-1675.514	1091.324	458.660	-1643.238	1047.106	899.892	-1495.370	1018.127	264.484	-1600.823	819.382	1076.197	-1449.764	754.317	379.411	-1486.470	994.860	964.946	-1261.830	838.990	720.228	-1823.737	542.479	486.918	-1731.215	573.029	894.558	-1622.108	567.636	293.049	-1139.756	824.873	994.102	-1161.257	771.662	   NaN	   NaN	   NaN
5	0.05000	515.025	1003.905	1220.327	411.856	1013.712	1246.105	506.566	1247.094	1224.712	534.568	1244.148	1131.069	645.666	1026.829	1026.363	337.673	1348.885	1111.200	613.585	949.153	713.669	78.118	1227.772	873.640	511.116	818.178	828.124	162.118	1029.716	967.085	557.276	1414.424	580.045	626.367	1165.190	598.129	312.836	1335.591	660.720	584.980	794.492	1447.416	225.808	983.903	814.177	585.615	581.395	889.000	1577.046	616.915	1249.431	1561.077	730.261	1228.954	1787.021	699.044	1225.897	1817.143	674.689	1080.277	1667.321	472.943	1017.600	1731.163	886.716	1069.649	1493.445	409.265	756.006	1524.595	1024.798	848.400	1328.010	419.488	889.959	1398.670	858.824	921.989	1862.714	690.289	588.991	1685.502	510.388	602.114	1673.364	867.750	603.576	1586.619	395.288	1363.916	1339.385	772.118	760.952	1218.262	269.708	998.011	1603.038	-652.676	1254.082	1671.067	-544.970	1260.306	1833.312	-702.131	1224.071	1816.844	-761.835	1096.081	1565.193	-758.627	1026.511	1919.770	-526.300	1103.081	1485.964	-715.526	726.654	1847.026	-263.624	964.344	1301.288	-475.498	847.064	1632.556	-313.429	1014.029	1873.046	-736.514	618.885	1628.339	-751.176	613.138	1860.083	-485.041	610.153	1340.486	-828.757	1322.582	1570.307	-321.631	848.137	1056.076	-490.401	885.109	620.364	-1481.798	1287.168	799.427	-1489.353	1242.897	662.364	-1681.395	1203.719	708.094	-1675.677	1091.311	458.347	-1643.042	1046.957	899.796	-1495.700	1018.272	264.499	-1599.632	819.061	1076.265	-1450.180	754.541	379.356	-1485.900	995.039	964.868	-1262.269	838.954	720.229	-1823.763	542.441	486.877	-1731.265	572.985	894.515	-1622.135	567.664	292.819	-1141.206	823.557	994.007	-1161.530	771.690	   NaN	   NaN	   NaN
6	0.06000	516.580	1004.404	1221.194	413.323	1013.161	1246.704	505.661	1247.756	1224.394	534.714	1244.029	1131.026	645.228	1026.512	1026.205	338.099	1348.407	1112.203	612.729	947.413	713.628	79.062	1222.725	877.124	512.045	817.160	827.030	165.149	1029.265	976.893	557.225	1414.569	580.136	626.302	1165.371	598.363	312.759	1335.606	660.975	595.558	796.181	1457.041	226.268	979.482	827.499	584.028	581.135	888.662	1576.701	616.796	1249.208	1560.672	730.160	1228.706	1786.640	699.074	1225.911	1816.960	674.689	1080.314	1667.350	472.843	1017.538	1730.836	886.397	1069.602	1493.653	409.136	755.544	1524.018	1024.882	848.844	1328.315	419.379	889.618	1398.327	858.616	922.255	1862.664	690.306	589.000	1685.490	510.378	602.121	1673.269	867.726	603.576	1588.063	393.433	1361.929	1338.792	772.357	761.065	1218.370	269.415	997.572	1603.192	-652.581	1254.062	1671.144	-544.958	1260.275	1833.487	-701.983	1224.151	1816.967	-761.731	1096.110	1565.303	-758.608	1026.552	1919.742	-526.173	1103.095	1486.031	-715.535	726.665	1846.728	-263.548	964.399	1301.293	-475.528	847.256	1632.288	-313.591	1014.078	1873.081	-736.491	618.887	1628.380	-751.147	613.150	1860.099	-485.013	610.148	1340.659	-829.495	1322.179	1570.014	-321.663	848.229	1056.092	-490.516	885.300	620.102	-1481.080	1286.671	799.152	-1488.756	1242.431	662.293	-1681.177	1204.480	707.778	-1675.836	1091.298	458.040	-1642.852	1046.820	899.699	-1496.042	1018.416	264.504	-1598.456	818.777	1076.321	-1450.624	754.746	379.294	-1485.332	995.265	964.805	-1262.749	838.945	720.231	-1823.787	542.407	486.841	-1731.308	572.944	894.477	-1622.165	567.697	292.597	-1142.677	822.252	993.917	-1161.818	771.757	   NaN	   NaN	   NaN
7	0.07000	518.070	1004.680	1221.752	414.737	1012.424	1246.967	504.925	1248.145	1224.100	534.939	1243.895	1130.920	644.944	1026.247	1025.938	338.540	1347.772	1113.190	611.907	945.732	713.450	80.252	1217.559	880.473	513.026	816.164	825.879	168.572	1028.921	986.124	557.161	1414.725	580.171	626.261	1165.578	598.590	312.682	1335.655	661.187	605.638	798.028	1466.952	227.227	975.208	840.668	583.046	581.243	887.713	1576.338	616.692	1248.961	1560.244	730.068	1228.444	1786.240	699.113	1225.933	1816.775	674.694	1080.354	1667.377	472.745	1017.467	1730.511	886.103	1069.555	1493.908	409.073	755.095	1523.460	1025.002	849.280	1328.629	419.289	889.245	1397.983	858.453	922.522	1862.616	690.325	589.006	1685.483	510.368	602.129	1673.177	867.702	603.573	1589.551	391.410	1359.777	1338.196	772.622	761.202	1218.472	269.131	997.077	1603.336	-652.488	1254.028	1671.174	-544.943	1260.245	1833.657	-701.822	1224.238	1817.086	-761.624	1096.135	1565.401	-758.590	1026.592	1919.716	-526.049	1103.110	1486.098	-715.543	726.676	1846.431	-263.485	964.460	1301.302	-475.539	847.462	1632.022	-313.765	1014.135	1873.115	-736.466	618.891	1628.419	-751.112	613.158	1860.118	-484.982	610.144	1340.783	-830.168	1321.782	1569.725	-321.674	848.317	1056.096	-490.658	885.462	619.837	-1480.336	1286.165	798.881	-1488.142	1241.959	662.207	-1680.948	1205.256	707.468	-1675.990	1091.285	457.737	-1642.668	1046.695	899.602	-1496.392	1018.560	264.499	-1597.293	818.527	1076.373	-1451.103	754.939	379.221	-1484.773	995.535	964.749	-1263.257	838.951	720.231	-1823.815	542.378	486.807	-1731.348	572.909	894.443	-1622.197	567.734	292.387	-1144.157	820.964	993.833	-1162.125	771.848	   NaN	   NaN	   NaN
8	0.08000	519.530	1004.636	1221.911	416.076	1011.474	1246.873	504.388	1248.219	1223.781	535.247	1243.746	1130.728	644.811	1026.045	1025.546	339.018	1346.955	1114.128	611.156	944.131	713.111	81.620	1212.332	883.686	514.058	815.189	824.677	172.350	1028.605	994.570	557.083	1414.902	580.124	626.251	1165.813	598.797	312.615	1335.736	661.314	615.199	800.000	1476.839	228.818	971.288	853.278	582.709	581.658	886.234	1575.952	616.605	1248.700	1559.797	729.984	1228.174	1785.822	699.167	1225.966	1816.581	674.710	1080.395	1667.398	472.650	1017.385	1730.173	885.860	1069.525	1494.209	409.065	754.668	1522.919	1025.157	849.717	1328.949	419.211	888.837	1397.646	858.342	922.805	1862.573	690.345	589.009	1685.479	510.360	602.135	1673.091	867.678	603.565	1591.128	389.187	1357.416	1337.576	772.915	761.368	1218.572	268.850	996.515	1603.466	-652.411	1253.991	1671.169	-544.911	1260.204	1833.820	-701.643	1224.319	1817.199	-761.516	1096.155	1565.489	-758.579	1026.640	1919.691	-525.933	1103.122	1486.165	-715.552	726.688	1846.131	-263.426	964.533	1301.318	-475.546	847.666	1631.759	-313.939	1014.204	1873.147	-736.439	618.897	1628.453	-751.075	613.164	1860.136	-484.950	610.139	1340.847	-830.780	1321.360	1569.462	-321.659	848.398	1056.089	-490.821	885.590	619.571	-1479.561	1285.649	798.613	-1487.505	1241.482	662.111	-1680.697	1206.043	707.162	-1676.138	1091.274	457.436	-1642.488	1046.579	899.507	-1496.749	1018.702	264.484	-1596.141	818.309	1076.424	-1451.617	755.129	379.142	-1484.229	995.841	964.690	-1263.777	838.950	720.230	-1823.845	542.355	486.774	-1731.385	572.880	894.412	-1622.231	567.776	292.187	-1145.640	819.692	993.754	-1162.454	771.947	   NaN	   NaN	   NaN
9	0.09000	520.997	1004.167	1221.572	417.332	1010.299	1246.410	504.071	1247.977	1223.401	535.649	1243.568	1130.422	644.825	1025.896	1025.015	339.552	1345.968	1114.990	610.514	942.639	712.587	83.095	1207.083	886.751	515.138	814.234	823.426	176.432	1028.209	1002.070	557.000	1415.105	579.975	626.279	1166.071	598.977	312.565	1335.864	661.345	624.214	802.078	1486.373	231.107	967.793	864.927	583.004	582.277	884.315	1575.539	616.537	1248.438	1559.334	729.905	1227.901	1785.389	699.241	1226.008	1816.374	674.741	1080.435	1667.410	472.560	1017.289	1729.814	885.672	1069.518	1494.547	409.089	754.261	1522.394	1025.356	850.170	1329.274	419.137	888.392	1397.324	858.286	923.109	1862.538	690.366	589.009	1685.479	510.352	602.137	1673.012	867.651	603.554	1592.846	386.731	1354.799	1336.909	773.234	761.570	1218.674	268.567	995.885	1603.580	-652.351	1253.959	1671.141	-544.853	1260.140	1833.975	-701.440	1224.388	1817.306	-761.407	1096.173	1565.566	-758.575	1026.699	1919.666	-525.823	1103.132	1486.232	-715.561	726.699	1845.823	-263.363	964.624	1301.342	-475.571	847.833	1631.497	-314.106	1014.287	1873.174	-736.413	618.905	1628.479	-751.036	613.167	1860.154	-484.918	610.136	1340.839	-831.343	1320.884	1569.240	-321.619	848.469	1056.074	-490.990	885.687	619.305	-1478.751	1285.121	798.347	-1486.839	1240.999	662.009	-1680.417	1206.841	706.860	-1676.281	1091.266	457.136	-1642.310	1046.472	899.416	-1497.108	1018.839	264.454	-1595.004	818.126	1076.476	-1452.166	755.318	379.067	-1483.699	996.178	964.618	-1264.299	838.921	720.228	-1823.877	542.336	486.741	-1731.422	572.858	894.384	-1622.264	567.821	291.999	-1147.119	818.437	993.678	-1162.807	772.032	   NaN	   NaN	   NaN
10	0.10000	522.488	1003.232	1220.682	418.510	1008.928	1245.568	503.984	1247.432	1222.924	536.158	1243.339	1129.973	644.986	1025.788	1024.326	340.160	1344.848	1115.757	610.023	941.289	711.851	84.618	1201.855	889.660	516.263	813.299	822.129	180.762	1027.611	1008.513	556.924	1415.337	579.710	626.350	1166.346	599.127	312.538	1336.065	661.286	632.630	804.261	1495.230	234.111	964.684	875.244	583.889	582.977	882.049	1575.100	616.488	1248.187	1558.859	729.830	1227.624	1784.941	699.334	1226.056	1816.154	674.786	1080.474	1667.410	472.476	1017.181	1729.436	885.532	1069.532	1494.911	409.127	753.875	1521.878	1025.609	850.654	1329.596	419.070	887.913	1397.024	858.277	923.431	1862.512	690.385	589.007	1685.485	510.345	602.137	1672.943	867.619	603.541	1594.755	384.009	1351.882	1336.171	773.578	761.819	1218.781	268.283	995.195	1603.677	-652.306	1253.934	1671.103	-544.769	1260.050	1834.119	-701.215	1224.441	1817.405	-761.302	1096.193	1565.637	-758.576	1026.765	1919.637	-525.719	1103.140	1486.299	-715.570	726.711	1845.510	-263.292	964.730	1301.368	-475.633	847.932	1631.237	-314.260	1014.380	1873.192	-736.387	618.914	1628.499	-750.996	613.171	1860.171	-484.886	610.133	1340.748	-831.883	1320.334	1569.061	-321.563	848.535	1056.059	-491.151	885.759	619.043	-1477.910	1284.580	798.083	-1486.141	1240.504	661.905	-1680.105	1207.650	706.560	-1676.419	1091.261	456.839	-1642.133	1046.374	899.330	-1497.466	1018.969	264.408	-1593.895	817.982	1076.530	-1452.744	755.505	379.010	-1483.179	996.535	964.529	-1264.820	838.852	720.223	-1823.910	542.321	486.706	-1731.458	572.843	894.359	-1622.297	567.871	291.822	-1148.591	817.197	993.607	-1163.181	772.084	   NaN	   NaN	   NaN
